Dataset,F1 Mean
Yoga,0.797
WormsTwoClass,0.770
Worms,0.05885
WordSynonyms,0.01677
Wine,0.688
Wafer,0.993
UWaveGestureLibraryZ,0.0109
UWaveGestureLibraryY,0.02434
UWaveGestureLibraryX,0.00951
UWaveGestureLibraryAll,0.04134
UMD,0.03269
TwoPatterns,0.03167
TwoLeadECG,0.878
Trace,0.17603
ToeSegmentation2,0.660
ToeSegmentation1,0.823
SyntheticControl,0.05335
Symbols,0.07446
SwedishLeaf,0.00025
Strawberry,0.949
StarLightCurves,0.0058
SonyAIBORobotSurface,0.2839
SonyAIBORobotSurface,0.1715
SmoothSubspace,0.13986
SmallKitchenAppliances,0.14823
ShapesAll,0.00171
ShapeletSim,0.626
ShakeGestureWiimoteZ,0.01818
SemgHandSubjectCh2,0.05971
SemgHandMovementCh2,0.0348
SemgHandGenderCh2,0.334
ScreenType,0.22585
Rock,0.03575
RefrigerationDevices,0.11984
ProximalPhalanxTW,0.08935
ProximalPhalanxOutlineCorrect,0.891
ProximalPhalanxOutlineAgeGroup,0.13528
PowerCons,0.929
Plane,0.0661
PLAID,0.01053
PigCVP,0.00128
PigArtPressure,0.00067
PigAirwayPressure,0.00263
PickupGestureWiimoteZ,0.01818
Phoneme,0.00311
PhalangesOutlinesCorrect,0.787
OSULeaf,0.02116
OliveOil,0.04968
NonInvasiveFetalECGThorax2,0.00052
NonInvasiveFetalECGThorax1,0.00104
MoteStrain,0.925
MixedShapesSmallTrain,0.01992
MixedShapesRegularTrain,0.01977
MiddlePhalanxTW,0.09974
MiddlePhalanxOutlineCorrect,0.813
MiddlePhalanxOutlineAgeGroup,0.20821
MelbournePedestrian,0.00078
MedicalImages,0.00297
Meat,0.07541
Mallat,0.00858
Lightning7,0.01801
Lightning,0.2780
LargeKitchenAppliances,0.08468
ItalyPowerDemand,0.954
InsectWingbeatSound,0.02
InsectEPGSmallTrain,0.11648
InsectEPGRegularTrain,0.10419
InlineSkate,0.04821
HouseTwenty,0.812
Herring,0.516
Haptics,0.05113
HandOutlines,0.832
Ham,0.736
GunPointOldVersusYoung,0.966
GunPointMaleVersusFemale,0.987
GunPointAgeSpan,0.928
GunPoint,0.963
GesturePebbleZ2,0.04138
GesturePebbleZ1,0.04579
GestureMidAirD3,0.00286
GestureMidAirD2,0.00287
GestureMidAirD1,0.00287
Fungi,0.026
FreezerSmallTrain,0.805
FreezerRegularTrain,0.834
FordB,0.111
FordA,0.471
Fish,0.04196
FiftyWords,0.00387
FacesUCR,0.00548
FaceFour,0
FaceAll,0.0064
EthanolLevel,0.10625
EOGVerticalSignal,0.00608
EOGHorizontalSignal,0.01018
ElectricDevices,0.01147
ECGFiveDays,0.819
ECG5000,0.01609
ECG200,0.866
Earthquakes,0.33
DodgerLoopWeekend,0.933
DodgerLoopGame,0.673
DodgerLoopDay,0.01283
DistalPhalanxTW,0.05416
DistalPhalanxOutlineCorrect,0.810
DistalPhalanxOutlineAgeGroup,0.08073
DiatomSizeReduction,0.00613
Crop,0.0001
CricketZ,0.00704
CricketY,0.00318
CricketX,0.00838
Computers,0.724
Coffee,0.940
CinCECGTorso,0.07962
ChlorineConcentration,0.13238
Chinatown,0.982
CBF,0.96
Car,0.01914
BME,0.02607
BirdChicken,0.680
BeetleFly,0.735
Beef,0.05287
ArrowHead,0.10914
AllGestureWiimoteZ,0.01818
AllGestureWiimoteY,0.01818
AllGestureWiimoteX,0.01818
Adiac,0.0
ACSF1,0.00988
