Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Yoga,0.7257979999999999,0.025065595863653412,0.715728,0.03131182294277995
WormsTwoClass,0.755844,0.05473158232684305,0.752234,0.05314441554857856
Worms,0.6779240000000001,0.03523317221029068,0.58914,0.05720324536247922
WordSynonyms,0.404702,0.007312185446226064,0.180028,0.01333307076408132
Wine,0.5703720000000001,0.06666733334999983,0.476884,0.13626812915718772
Wafer,0.996918,0.0011483448959263216,0.9918760000000001,0.0030626433027696885
UWaveGestureLibraryZ,0.7260199999999999,0.003218229326819311,0.7208720000000001,0.004994398462277507
UWaveGestureLibraryY,0.632214,0.02525695832834983,0.622842,0.02977931322243682
UWaveGestureLibraryX,0.76661,0.008257086653293645,0.75982,0.009691629377973571
UWaveGestureLibraryAll,0.7903979999999999,0.023346488729571326,0.7883600000000001,0.024226822325678642
UMD,0.575002,0.17815834961067645,0.5030319999999999,0.22496399039846354
TwoPatterns,0.9202,0.005365165421494491,0.92025,0.005417833515345397
TwoLeadECG,0.9971880000000001,0.0020325097785742663,0.9971880000000001,0.0020325097785742663
Trace,0.994,0.012000000000000009,0.993256,0.013487999999999988
ToeSegmentation2,0.8200000000000001,0.10188883609110469,0.7658039999999999,0.08867389415154833
ToeSegmentation1,0.892104,0.04646749943777909,0.8906560000000001,0.04790790273013422
SyntheticControl,0.997336,0.0013320000000000222,0.997336,0.0013320000000000222
Symbols,0.762412,0.08870430054963512,0.73161,0.10811571634133495
SwedishLeaf,0.9574400000000001,0.00761304144215701,0.957734,0.007675536723904062
Strawberry,0.9535119999999999,0.0026479003002379173,0.9501,0.0027139712599804984
StarLightCurves,0.859034,0.06069685843600145,0.78118,0.08229231896112785
SonyAIBORobotSurface2,0.96915,0.004723833189264857,0.967286,0.005145450806294843
SonyAIBORobotSurface1,0.903162,0.023278428125627405,0.9029679999999999,0.023150293648245578
SmoothSubspace,0.9960000000000001,0.0053325003516174075,0.9959979999999999,0.005336000000000002
SmallKitchenAppliances,0.8096,0.016744883397623294,0.807654,0.017815060594901153
ShapesAll,0.756668,0.008563488541476549,0.7361519999999999,0.009752996257561052
ShapeletSim,0.7633319999999999,0.044110478755053244,0.757734,0.050621866263503144
ShakeGestureWiimoteZ,0.8360000000000001,0.082365041127896,0.801624,0.10821973047462281
SemgHandSubjectCh2,0.45600000000000007,0.02038832901441411,0.43483,0.022393612482134274
SemgHandMovementCh2,0.38888999999999996,0.0726893271395464,0.33577399999999996,0.09589680069741639
SemgHandGenderCh2,0.76,0.01980230087641331,0.667056,0.0438361447209948
ScreenType,0.622402,0.014069390036529635,0.618842,0.0146718934020119
Rock,0.41600000000000004,0.059866518188383074,0.364578,0.07713201369081453
RefrigerationDevices,0.544532,0.025095827063478106,0.533338,0.030072737421126126
ProximalPhalanxTW,0.793172,0.01591059822885361,0.56945,0.025417313784111807
ProximalPhalanxOutlineCorrect,0.9030940000000001,0.009323050144668294,0.886044,0.010263828915175867
ProximalPhalanxOutlineAgeGroup,0.853658,0.008727373946382727,0.7735399999999999,0.012621006299023843
PowerCons,0.924444,0.011438056827975624,0.924366,0.011506793819305168
Plane,1.0,0.0,1.0,0.0
PigCVP,0.13269199999999998,0.020077188448585123,0.069948,0.014764136818656213
PigArtPressure,0.18077000000000001,0.0583796365182244,0.11438200000000001,0.04956015552840811
PigAirwayPressure,0.12115399999999998,0.016763752085974068,0.054698000000000004,0.005930239118281823
PickupGestureWiimoteZ,0.496,0.06621178142898741,0.43788,0.0821101411519917
Phoneme,0.315822,0.01082826560442623,0.126224,0.011853793654353866
PhalangesOutlinesCorrect,0.796502,0.009933602367721379,0.768108,0.013344116905962712
PLAID,0.073368,0.023836000000000003,0.014775999999999997,0.008392235935672924
OliveOil,0.43999999999999995,0.07999999999999999,0.21726399999999998,0.148808
OSULeaf,0.952064,0.022572108098270333,0.951876,0.022384057362328194
NonInvasiveFetalECGThorax2,0.8827480000000001,0.018540711313215563,0.874538,0.019361418749668093
NonInvasiveFetalECGThorax1,0.89893,0.008371699946844717,0.891836,0.009099205679618416
MoteStrain,0.901118,0.0209592780410013,0.9006359999999999,0.02072846313647013
MixedShapesSmallTrain,0.852454,0.014074258204253617,0.8480040000000001,0.01579161119075568
MixedShapesRegularTrain,0.9004559999999999,0.07927179891991856,0.903922,0.0697037830824124
MiddlePhalanxTW,0.585716,0.029727081659658414,0.40144599999999997,0.019291195504685558
MiddlePhalanxOutlineCorrect,0.8164960000000001,0.014185819116286514,0.811642,0.014696142895331419
MiddlePhalanxOutlineAgeGroup,0.5467540000000001,0.05003114973693889,0.43379399999999996,0.04278731428823266
MelbournePedestrian,0.867816,0.05753198539942804,0.858674,0.06447325479607803
MedicalImages,0.7494759999999999,0.008909856564502033,0.68689,0.021365078984174144
Meat,0.7666660000000001,0.21186924690478323,0.7376699999999999,0.2691549492764344
Mallat,0.753602,0.02087174491986715,0.699014,0.041115645489278166
Lightning7,0.638356,0.04383575006772439,0.601772,0.05155378061791395
Lightning2,0.7344240000000001,0.021747108865318172,0.7306199999999999,0.02117768070398644
LargeKitchenAppliances,0.8976,0.012574400979768379,0.8969440000000001,0.012778434332890711
ItalyPowerDemand,0.9477180000000001,0.0048170588536990185,0.94771,0.0048202074644148035
InsectWingbeatSound,0.40575799999999995,0.015367578078539248,0.393458,0.020402787456619758
InsectEPGSmallTrain,0.898798,0.08263108698304772,0.76713,0.19019938412097973
InsectEPGRegularTrain,0.9662659999999998,0.067468,0.923262,0.153476
InlineSkate,0.22291,0.040077437542837,0.17558,0.061070800551491056
HouseTwenty,0.9294119999999999,0.02352742858877698,0.9273239999999999,0.024455255958586906
Herring,0.6093740000000001,0.04841164636737734,0.521086,0.08767831170819841
Haptics,0.42987200000000003,0.04658195934050004,0.398224,0.05887901921737487
HandOutlines,0.704324,0.03135995510200866,0.579334,0.07623100749694971
Ham,0.655238,0.07746630374556412,0.6335,0.09763632070085394
GunPointOldVersusYoung,0.9422240000000001,0.0969029189653232,0.940056,0.10120278861770558
GunPointMaleVersusFemale,0.875316,0.08175815105541465,0.868002,0.08885613257395349
GunPointAgeSpan,0.796834,0.04750646339183754,0.7944939999999999,0.04720484831031658
GunPoint,0.977336,0.009042910151052044,0.97732,0.009047039294708504
GesturePebbleZ2,0.774682,0.018170518319519647,0.764902,0.02419068531480662
GesturePebbleZ1,0.776744,0.1433374963643498,0.752922,0.18107785898888906
GestureMidAirD3,0.10461799999999999,0.05990074236601747,0.06592,0.05966885820928702
GestureMidAirD2,0.40461400000000003,0.04201984321722298,0.347546,0.040752361698434124
GestureMidAirD1,0.5,0.008423972934429447,0.46323,0.006759215930860612
Fungi,0.408602,0.059287007480560205,0.320978,0.0708098265497099
FreezerSmallTrain,0.71614,0.01982106253458679,0.713974,0.022381877133073536
FreezerRegularTrain,0.9688420000000001,0.010319936821512046,0.9688040000000001,0.010366771146311671
FordB,0.7874080000000001,0.012623160301604342,0.7872480000000001,0.01268293719924529
FordA,0.9254539999999999,0.006703147320475681,0.925346,0.006753548992936988
Fish,0.9131440000000002,0.04947557805624915,0.9112959999999999,0.05245126065215208
FiftyWords,0.484394,0.04175918131381407,0.213424,0.031585127259518835
FacesUCR,0.884196,0.017342720201859937,0.841408,0.018552916105022407
FaceFour,0.781818,0.05539231982865496,0.779842,0.06057419694886595
FaceAll,0.9101779999999999,0.028391313037617678,0.9040380000000001,0.018329894053158064
EthanolLevel,0.3268,0.02646053665366597,0.278268,0.0378407946005366
ElectricDevices,0.7229659999999999,0.004070383765690882,0.6296100000000001,0.005698445402037279
Earthquakes,0.7410059999999999,0.024077282737053188,0.521436,0.032472105321336965
EOGVerticalSignal,0.161324,0.030139868347423153,0.101942,0.0418427849933534
EOGHorizontalSignal,0.26243,0.03159140199484663,0.215782,0.039599013321041224
ECGFiveDays,0.8555159999999999,0.02772231923919788,0.8552440000000001,0.02780671041313588
ECG5000,0.9400879999999999,0.0012860388796611193,0.5621940000000001,0.0014133308176078328
ECG200,0.874,0.01743559577416271,0.860248,0.018668208698212046
DodgerLoopWeekend,0.934782,0.03861730669013574,0.9141639999999999,0.05300280279381462
DodgerLoopGame,0.613044,0.030259552276925734,0.5872539999999999,0.0359889930951117
DodgerLoopDay,0.3575,0.033166247903554005,0.28263,0.039259983188992834
DistalPhalanxTW,0.6719440000000001,0.03331128493468843,0.524406,0.015313439326291131
DistalPhalanxOutlineCorrect,0.7579740000000001,0.009829660421398078,0.744646,0.01579626360884118
DistalPhalanxOutlineAgeGroup,0.73381,0.015763455204998698,0.7272480000000001,0.019607883516585874
