Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Yoga,0.6275359999999999,0.004108019474150525,0.621644,0.005205080594957187
WormsTwoClass,0.516884,0.015145726261886554,0.5157740000000001,0.01565481600019624
Worms,0.306492,0.0211032977517733,0.268378,0.009995997999199487
WordSynonyms,0.412854,0.0030722734253317836,0.21378400000000003,0.00798042003907063
Wine,0.5555559999999999,0.08606543594265934,0.44427000000000005,0.15284485715914684
Wafer,0.9356580000000001,0.002100394248706652,0.796042,0.0095608815493133
UWaveGestureLibraryZ,0.56449,0.002999886664525845,0.528824,0.004574728844423465
UWaveGestureLibraryY,0.594696,0.005213500167833516,0.582236,0.007174319758694879
UWaveGestureLibraryX,0.645226,0.0020398686232206433,0.59557,0.002877332097621018
UWaveGestureLibraryAll,0.85483,0.0022552073075440336,0.8536440000000001,0.0023868355619941794
UMD,0.7097200000000001,0.0027800000000000043,0.71277,0.003090281540571995
TwoPatterns,0.8239999999999998,0.0010246950765959552,0.8237780000000001,0.0010364825131182998
TwoLeadECG,0.587884,0.01821848577681474,0.55916,0.03941205145637562
Trace,0.51,0.020000000000000018,0.47745,0.015026276984003726
ToeSegmentation2,0.5184619999999999,0.023128394150913275,0.475704,0.016793182664402835
ToeSegmentation1,0.5649120000000001,0.0198879937650835,0.564806,0.019942062681678637
SyntheticControl,0.816666,0.005964711560503145,0.785778,0.0073798493209550255
Symbols,0.7694460000000001,0.01789358946662184,0.76149,0.019700839576018068
SwedishLeaf,0.7369600000000001,0.009631946843707164,0.729556,0.011272736313779352
Strawberry,0.828106,0.00881498179238051,0.8196060000000001,0.011487576942070926
StarLightCurves,0.8917439999999999,0.013933528770559157,0.850134,0.020661127365175395
SonyAIBORobotSurface2,0.800422,0.01830074796285662,0.7912,0.018052109018062142
SonyAIBORobotSurface1,0.565058,0.06927534147155101,0.520332,0.0908896325000822
SmoothSubspace,0.6239979999999999,0.03057883084749969,0.578764,0.04559868094583436
SmallKitchenAppliances,0.389866,0.007428282708675006,0.38954199999999994,0.007600122104282274
ShapesAll,0.5763320000000001,0.005099150517488185,0.5336200000000001,0.004281518422242252
ShapeletSim,0.502222,0.014315786251547625,0.500686,0.013025213395564799
ShakeGestureWiimoteZ,0.56,0.03794733192202054,0.5133960000000001,0.043578543619538286
SemgHandSubjectCh2,0.770224,0.023204793125559214,0.7693939999999999,0.023437269977537933
SemgHandMovementCh2,0.42577799999999993,0.011640983463608229,0.42479000000000006,0.011864796669138502
SemgHandGenderCh2,0.787998,0.01684520394652438,0.77266,0.014642824864075915
ScreenType,0.376,0.006745929142823847,0.373946,0.0076380379679601
Rock,0.808,0.034871191548325374,0.807086,0.03973778333022616
RefrigerationDevices,0.364266,0.004944348693205205,0.36309199999999997,0.005037691534820298
ProximalPhalanxTW,0.70927,0.010045038576332113,0.32880600000000004,0.011721903599671854
ProximalPhalanxOutlineCorrect,0.7752600000000001,0.008854325496614648,0.6837479999999999,0.014467855957259182
ProximalPhalanxOutlineAgeGroup,0.84878,0.004364804692079585,0.589952,0.003220865722131251
PowerCons,0.9255559999999999,0.011436114025314708,0.925442,0.011487221422084625
Plane,0.9638059999999999,0.003812000000000016,0.9633160000000001,0.003812000000000016
PigCVP,0.057692,0.0067995393961650065,0.045278,0.007123401996237472
PigArtPressure,0.042308,0.012683586874382183,0.019376,0.009898952671873929
PigAirwayPressure,0.042308,0.013390494240318391,0.027615999999999995,0.010466345302922123
PickupGestureWiimoteZ,0.48,0.05796550698475776,0.465626,0.06262279891541099
Phoneme,0.077638,0.003009813283245321,0.037078,0.003444841941221686
PhalangesOutlinesCorrect,0.6529140000000001,0.006928395485247646,0.49855599999999994,0.020929806114725478
PLAID,0.343018,0.0037979857819638897,0.287798,0.018965099947007926
OliveOil,0.4,0.0,0.14286,0.0
OSULeaf,0.402478,0.014921461590608342,0.38254200000000005,0.0165237591364677
NonInvasiveFetalECGThorax2,0.9030000000000001,0.002100799847677084,0.8982620000000001,0.0031839434668348068
NonInvasiveFetalECGThorax1,0.879594,0.0025464453656028198,0.8745539999999998,0.003565706662079764
MoteStrain,0.807188,0.026268656151390762,0.8041699999999998,0.026571133961500393
MixedShapesSmallTrain,0.7660180000000001,0.006947193390139652,0.7710520000000001,0.005959205987377844
MixedShapesRegularTrain,0.7936500000000001,0.009906311119685296,0.7971739999999999,0.008591671781440453
MiddlePhalanxTW,0.611688,0.006358875372265127,0.393478,0.003908367434108519
MiddlePhalanxOutlineCorrect,0.575258,0.004662704794429966,0.42861800000000005,0.006194505307125018
MiddlePhalanxOutlineAgeGroup,0.625972,0.008807593087785129,0.502804,0.005292068026773637
MelbournePedestrian,0.756132,0.020221605673140776,0.742606,0.02473974341014878
MedicalImages,0.548684,0.005260500356429987,0.40875399999999995,0.007723156349576254
Meat,0.75,0.08300187419570722,0.714832,0.12153989047222315
Mallat,0.766396,0.025890378599008557,0.7125380000000001,0.03943972281849859
Lightning7,0.641098,0.013420754673266316,0.5608839999999999,0.02005275801479687
Lightning2,0.652458,0.03343662447078054,0.6481999999999999,0.033164974295180755
LargeKitchenAppliances,0.373866,0.011852906141533401,0.36958399999999997,0.011817767301821437
ItalyPowerDemand,0.9358599999999999,0.010268939575243382,0.9357520000000001,0.010365279349829417
InsectWingbeatSound,0.633434,0.0038223636666335097,0.633716,0.004021624547368878
InsectEPGSmallTrain,0.83133,0.0,0.60303,0.0
InsectEPGRegularTrain,0.83133,0.0,0.60303,0.0
InlineSkate,0.246908,0.007032289527600532,0.24735200000000002,0.005481285980497639
HouseTwenty,0.673948,0.02458598820466649,0.672586,0.024744942594396944
Herring,0.61875,0.01593247501174879,0.4927159999999999,0.028945127811084204
Haptics,0.45844399999999996,0.008807150731082097,0.43189399999999994,0.009941300920905677
HandOutlines,0.877298,0.013950336770128517,0.8628119999999999,0.019802334609838292
Ham,0.739048,0.01766149869065479,0.7380280000000001,0.018595675196130985
GunPointOldVersusYoung,0.7504760000000001,0.09433714636345536,0.7237880000000001,0.13119904914289585
GunPointMaleVersusFemale,0.9639240000000001,0.012592520954916057,0.963796,0.01266921718181515
GunPointAgeSpan,0.8335420000000001,0.04504893889982314,0.8317479999999999,0.0464830994663652
GunPoint,0.7106640000000001,0.03227677530361424,0.710102,0.03198762160586498
GesturePebbleZ2,0.562028,0.03405989336448368,0.5351980000000001,0.0394309575841115
GesturePebbleZ1,0.7174400000000001,0.018965013050351434,0.712394,0.02050950472342031
GestureMidAirD3,0.26154,0.01884229179266683,0.243092,0.020271023062489967
GestureMidAirD2,0.447692,0.02975105403174819,0.41033400000000003,0.0289654950587764
GestureMidAirD1,0.45692199999999994,0.03528131426123464,0.44245799999999996,0.03785621977958179
Fungi,0.203226,0.06189803570388966,0.14372000000000001,0.04087591173295099
FreezerSmallTrain,0.749546,0.012888754167878288,0.748872,0.013077148618869478
FreezerRegularTrain,0.79656,0.0036687436541682616,0.796248,0.003741034081641047
FordB,0.48740799999999995,0.011408059256508113,0.48725000000000007,0.011477107649577933
FordA,0.495456,0.005070757734303619,0.494478,0.004824941035909128
Fish,0.729142,0.015588148575119498,0.7229880000000001,0.017407432205813707
FiftyWords,0.5138459999999999,0.006276475444068938,0.32427599999999995,0.02001927331348468
FacesUCR,0.692976,0.006883849504456086,0.630518,0.016210641443200186
FaceFour,0.831818,0.02631014967650317,0.8345420000000001,0.022440328339843843
FaceAll,0.7237860000000002,0.009616982062996687,0.686864,0.006924347189446831
EthanolLevel,0.43600000000000005,0.01391402170474088,0.321542,0.013577349373128773
ElectricDevices,0.474258,0.0011741107273166259,0.346598,0.0008695838084969268
Earthquakes,0.595686,0.02629376017232986,0.5261600000000001,0.027841063198089277
EOGVerticalSignal,0.3397799999999999,0.019456668779624122,0.273802,0.020951364060604744
EOGHorizontalSignal,0.301104,0.01629657829116285,0.27992,0.01610295004028765
ECGFiveDays,0.821602,0.039368139097498624,0.819178,0.041442594706412844
ECG5000,0.938932,0.0005706627725723457,0.591536,0.00705154054090309
ECG200,0.78,0.010954451150103331,0.7561580000000001,0.012411672570608687
DodgerLoopWeekend,0.9057980000000001,0.055756360139449554,0.888978,0.06035901636044114
DodgerLoopGame,0.605796,0.03683555543221796,0.599812,0.03703599567987876
DodgerLoopDay,0.425,0.044017042154147513,0.41037999999999997,0.03755741524652623
DistalPhalanxTW,0.589926,0.014392000000000004,0.272628,0.02789739658104319
DistalPhalanxOutlineCorrect,0.670292,0.004582140984299826,0.6086320000000001,0.009678219670993221
DistalPhalanxOutlineAgeGroup,0.634532,0.011508500162923083,0.445418,0.007266849110859543
DiatomSizeReduction,0.8169939999999999,0.06350166158456014,0.646174,0.05453487530012334
Crop,0.584168,0.0030172000265146458,0.557016,0.005495221924545005
CricketZ,0.292308,0.014504528120556016,0.287934,0.014814844717377231
CricketY,0.38564000000000004,0.011984177902551359,0.37714600000000004,0.01327814535242026
CricketX,0.309744,0.02014909983100982,0.299416,0.019838909849081945
Computers,0.4968,0.004664761515876244,0.49578,0.004890300604257369
Coffee,0.8357140000000001,0.15084972928049953,0.7979139999999999,0.22507985956988688
CinCECGTorso,0.406522,0.022675192082979134,0.410918,0.024566064723516468
ChlorineConcentration,0.5608839999999999,0.0021386780963950636,0.30974599999999997,0.005512232215718057
Chinatown,0.657724,0.26191421668935805,0.6332679999999999,0.26774981444624757
Car,0.74,0.01699738568133344,0.747922,0.016875164473272548
CBF,0.7495559999999999,0.03154923111582909,0.754596,0.03148812893774415
BirdChicken,0.63,0.050990195135927834,0.62261,0.05149216134519894
BeetleFly,0.8,0.08366600265340755,0.792372,0.09142401093804627
Beef,0.58,0.033992809827962135,0.554286,0.04792692671140098
BME,0.6586679999999999,0.020826351000595395,0.652968,0.023671694827367137
ArrowHead,0.6365719999999999,0.020317737472464802,0.631448,0.018933397370783738
AllGestureWiimoteZ,0.25885600000000003,0.003977776263190275,0.25425200000000003,0.007286558584132835
AllGestureWiimoteY,0.33142799999999994,0.009037157517715406,0.307482,0.009736458082896457
AllGestureWiimoteX,0.294288,0.0015628358838982444,0.28666800000000003,0.0028841248239283995
Adiac,0.23887399999999998,0.020498401498653493,0.176754,0.017337948667590405
ACSF1,0.384,0.034409301068170514,0.337088,0.038404225496682
