Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Yoga,0.587068,0.026260359784283226,0.5505599999999999,0.04696955737496363
WormsTwoClass,0.7740259999999999,0.03990172958657305,0.7685839999999999,0.03973400639250967
Worms,0.636366,0.05749427366268748,0.5194179999999999,0.07805029465671477
WordSynonyms,0.47930799999999996,0.011146471011042014,0.255652,0.012485962357784043
Wine,0.511112,0.022224000000000025,0.35589400000000004,0.04512799999999999
Wafer,0.9622299999999999,0.0138055264296585,0.881432,0.05006778940596439
UWaveGestureLibraryZ,0.691904,0.011609821014985538,0.68077,0.012120110560551832
UWaveGestureLibraryY,0.6612520000000001,0.009855236983452004,0.6505340000000001,0.013199025115515172
UWaveGestureLibraryX,0.755666,0.007874413247982354,0.7410779999999999,0.007109276756464054
UWaveGestureLibraryAll,0.8364039999999999,0.015390319814740703,0.8348360000000001,0.016455684245876845
UMD,0.754168,0.049221545038732786,0.740904,0.05435472697015413
TwoPatterns,0.9658,0.006671581521648387,0.9658979999999999,0.006681997904818579
TwoLeadECG,0.815804,0.1124051119122258,0.808854,0.1199492306936564
Trace,1.0,0.0,1.0,0.0
ToeSegmentation2,0.735384,0.11227637500382706,0.6551120000000001,0.10747331750718407
ToeSegmentation1,0.7421059999999999,0.05714862888993926,0.7391679999999999,0.06020057886764879
SyntheticControl,0.9833340000000002,0.006989834332800741,0.983318,0.006989850928310294
Symbols,0.8715579999999999,0.07694868560280933,0.8564640000000001,0.09701683124076975
SwedishLeaf,0.82304,0.021764705373608875,0.8153900000000001,0.029303268759645215
Strawberry,0.818918,0.08852473380925807,0.756566,0.1831103501826153
StarLightCurves,0.953788,0.012489492223465293,0.9251739999999999,0.02537458933657843
SonyAIBORobotSurface2,0.785938,0.09328325217315271,0.77529,0.09305584495344718
SonyAIBORobotSurface1,0.73644,0.12520473489449188,0.72304,0.14644600930035617
SmoothSubspace,0.8320000000000001,0.03587806516522315,0.832066,0.036038778891632824
SmallKitchenAppliances,0.621332,0.08970363056197893,0.6001580000000001,0.10964669815366078
ShapesAll,0.710332,0.01473570140848412,0.6859580000000001,0.016820112246950084
