Dataset,Accuracy,Acc. STD,F1,F1 STD
ACSF1,0.78,0.0260768096208105,0.776988,0.0276005365165244
Adiac,0.700256,0.0046890664316044,0.670984,0.0045197814106436
AllGestureWiimoteX,0.611716,0.0046414118541668,0.612144,0.0052556697004282
AllGestureWiimoteY,0.5745699999999999,0.0122679941310712,0.571312,0.0111737073525307
AllGestureWiimoteZ,0.57143,0.0129999061535074,0.5715600000000001,0.0134941691111383
ArrowHead,0.842286,0.0199926192381088,0.8409279999999999,0.021034755430002
BME,0.898668,0.0195032534721773,0.899986,0.0194093179684397
Beef,0.686666,0.0339932020262875,0.667708,0.0428307101972404
BeetleFly,0.82,0.0670820393249937,0.7995872033023735,0.0748830731530618
BirdChicken,0.97,0.0447213595499957,0.971291866028708,0.0415745148253176
CBF,0.972668,0.0080939122802264,0.9726899999999998,0.0081080922540385
Car,0.846668,0.0194373068093293,0.8505800000000001,0.0158766747148135
Chinatown,0.9778425655976676,0.0026076594489793,0.9844997511199602,0.0018476221217768
ChlorineConcentration,0.563022,0.006705094779345,0.4190979999999999,0.0334355346300907
CinCECGTorso,0.6852179999999999,0.013617878542563,0.687564,0.0137760786873478
Coffee,0.9285714285714286,0.0,0.9285714285714286,0.0
Computers,0.7552,0.0110995495404092,0.7726728740905948,0.0096051633934205
CricketX,0.68872,0.0086721877285953,0.681006,0.0101473515756575
CricketY,0.6887179999999999,0.0100772226332457,0.6917099999999999,0.009150678663356
CricketZ,0.707178,0.0123957983203987,0.696224,0.0121618182851084
Crop,0.5789160000000001,0.0043792035805612,0.569538,0.0050664164850513
DiatomSizeReduction,0.867318,0.0098257893321605,0.8585280000000001,0.0174566610782245
DistalPhalanxOutlineAgeGroup,0.733814,0.0143900001389853,0.7385900000000001,0.0194598016433878
DistalPhalanxOutlineCorrect,0.7492753623188406,0.0150264067777737,0.8025170174652934,0.011700505274598
DistalPhalanxTW,0.6776960000000001,0.0210506186132379,0.519536,0.0415636112964213
DodgerLoopDay,0.5349999999999999,0.0289395922569755,0.515538,0.0314793592056763
DodgerLoopGame,0.8420289855072464,0.0165242815231758,0.83360610471193,0.0217103048471926
DodgerLoopWeekend,0.982608695652174,0.0039690040398925,0.9677837837837838,0.0071055899352021
ECG200,0.884,0.0089442719099991,0.909097409335461,0.0067962705674553
ECG5000,0.940356,0.001190740945798,0.584576,0.0066848802532281
ECGFiveDays,0.9807200929152148,0.0091672879259795,0.9807142017911984,0.0092796048110419
EOGHorizontalSignal,0.54254,0.0105702090802405,0.531898,0.0076843982197697
EOGVerticalSignal,0.4469599999999999,0.0163336597246299,0.394494,0.0229470622084832
Earthquakes,0.7525179856115108,0.0064347279928051,0.0327327327327327,0.0485196450704203
ElectricDevices,0.704346,0.0038999620510974,0.638584,0.006685227296061
EthanolLevel,0.5244,0.01304760514424,0.5044740000000001,0.0252572624011392
FaceAll,0.770532,0.0049270291251422,0.814894,0.0041616179545941
FaceFour,0.84091,0.010160692889759,0.8418379999999999,0.009320449345391
FacesUCR,0.8650739999999999,0.0122247529218385,0.8440259999999998,0.0126427253391031
FiftyWords,0.772306,0.0086368920335963,0.653196,0.0161951790357501
Fish,0.921142,0.0127275502748958,0.917736,0.0138109124970075
FordA,0.9363636363636364,0.0022086938995626,0.9343501769024244,0.0024244535259195
FordB,0.794074074074074,0.007876117485302,0.7997214745157795,0.0072491496958099
FreezerRegularTrain,0.9869473684210526,0.0016717374385363,0.9868376393508688,0.0017145168525319
FreezerSmallTrain,0.8037192982456141,0.0171205060288863,0.8116469686173735,0.0149787286762491
Fungi,0.03763,0.0,0.00403,0.0
GestureMidAirD1,0.610768,0.0078454302622609,0.603194,0.0051026016893345
GestureMidAirD2,0.581538,0.0061565003045561,0.554378,0.0075113924141932
GestureMidAirD3,0.267692,0.0164269661228115,0.241496,0.0203338747906049
GesturePebbleZ1,0.9,0.0085459978937511,0.8946379999999999,0.0092318522518506
GesturePebbleZ2,0.8177220000000001,0.0135128729735759,0.8127279999999999,0.0126964568285801
GunPointAgeSpan,0.9753164556962024,0.0026476583118167,0.974723658218804,0.0027180559131383
GunPointMaleVersusFemale,0.9943037974683544,0.0014152328971517,0.9940198748835742,0.0014859562319609
GunPointOldVersusYoung,0.9784126984126984,0.0041391761302873,0.9794701709733232,0.0039215167890768
GunPoint,0.9773333333333334,0.003651483716701,0.9768702445806164,0.0037289916608613
Ham,0.7733333333333333,0.0332652365649009,0.7872898215744417,0.029579938354895
HandOutlines,0.9227027027027028,0.0080175118779412,0.9405482429451308,0.0066438694914507
Haptics,0.4590919999999999,0.0075704620730837,0.4320399999999999,0.0078911317312537
Herring,0.671875,0.0110485434560398,0.531633837860253,0.0629825320143384
HouseTwenty,0.9327731092436976,0.0084033613445377,0.9147774509924566,0.0116608801629723
InlineSkate,0.3378199999999999,0.0075756029463006,0.341228,0.0065729640193751
InsectEPGRegularTrain,0.866668,0.0146778777757548,0.84313,0.0196289347647803
InsectEPGSmallTrain,0.71486,0.0222873910541364,0.658042,0.0225643678395828
InsectWingbeatSound,0.62273,0.0023031543587002,0.607286,0.0023601745698146
ItalyPowerDemand,0.95354713313897,0.0050683789350457,0.952805302289172,0.0054349356919407
LargeKitchenAppliances,0.8448019999999999,0.010450748107193,0.844946,0.010512332947543
Lightning2,0.740983606557377,0.0179581166395136,0.773672081145155,0.0118463194856589
Lightning7,0.78904,0.01096,0.7582519999999999,0.017091342135713
Mallat,0.884434,0.0351804210321593,0.878014,0.0406363106593106
Meat,0.903334,0.0124746857275043,0.9026700000000002,0.0130230749057202
MedicalImages,0.702104,0.0059173730658122,0.646078,0.0116047841858433
MelbournePedestrian,0.806152,0.0019300507765341,0.8017919999999998,0.0022901737925318
MiddlePhalanxOutlineAgeGroup,0.5857140000000001,0.0351853211439088,0.485332,0.0210037905150475
MiddlePhalanxOutlineCorrect,0.7649484536082474,0.0160448350926855,0.8051728497558931,0.014116686237853
MiddlePhalanxTW,0.562338,0.010549679426409,0.42161,0.010865709364786
MixedShapesRegularTrain,0.938062,0.0061177852201593,0.935854,0.0064078252160932
MixedShapesSmallTrain,0.8908039999999999,0.0076407659301931,0.8848039999999999,0.0080796747459288
MoteStrain,0.918849840255591,0.0171641632072962,0.9095099809699488,0.0185252242640325
NonInvasiveFetalECGThorax1,0.8523160000000001,0.0046782116241144,0.846306,0.0047523408968633
NonInvasiveFetalECGThorax2,0.888346,0.0103624912062688,0.8833,0.0094752667508624
OSULeaf,0.8388439999999999,0.0256075204578655,0.815944,0.0386676725961105
OliveOil,0.8266640000000001,0.0133319999999999,0.756638,0.004244
PLAID,0.834636,0.0134001770137562,0.795076,0.0180397390225025
PhalangesOutlinesCorrect,0.7552447552447552,0.0152409053969953,0.8235662905842973,0.009943722389702
Phoneme,0.230278,0.0053014239596546,0.14198,0.0047725422994458
PickupGestureWiimoteZ,0.748,0.0203960780543711,0.741922,0.0210590212498111
PigAirwayPressure,0.287502,0.06308055339009,0.285248,0.0575348122096526
PigArtPressure,0.765384,0.0463529168877213,0.7548739999999999,0.0482687135109275
PigCVP,0.6980759999999999,0.01834362188882,0.691458,0.0175769979234225
Plane,1.0,0.0,1.0,0.0
PowerCons,0.9555555555555556,0.0055555555555555,0.9552413425142914,0.0057407187470356
ProximalPhalanxOutlineAgeGroup,0.8565860000000001,0.0049738982699689,0.767194,0.0043384264428476
ProximalPhalanxOutlineCorrect,0.8391752577319588,0.0101360008273213,0.8926854786993632,0.0062294902075728
ProximalPhalanxTW,0.8078059999999999,0.0066160157194492,0.48615,0.0289429072485816
RefrigerationDevices,0.510932,0.0110090388317963,0.500888,0.0122312589703595
Rock,0.836,0.0195959179422654,0.824024,0.0255826649120063
ScreenType,0.4437340000000001,0.0343390469291155,0.442044,0.0326667039047406
SemgHandGenderCh2,0.8476666666666667,0.0113406838908026,0.7820731984368018,0.0188089848111154
SemgHandMovementCh2,0.495556,0.0070246839074794,0.498134,0.0074423372672837
SemgHandSubjectCh2,0.793334,0.0101326513805617,0.788704,0.0106240154367357
ShakeGestureWiimoteZ,0.8039999999999999,0.0079999999999999,0.794014,0.0085879999999999
ShapeletSim,0.7933333333333333,0.0906424259533914,0.8109274642569346,0.075935038404082
ShapesAll,0.8160019999999999,0.0052277467421442,0.8058400000000001,0.0063708743512959
SmallKitchenAppliances,0.7952000000000001,0.0061740683507716,0.794238,0.0059935345164602
SmoothSubspace,0.914666,0.018573146852378,0.914842,0.0184278977639881
SonyAIBORobotSurface1,0.7697171381031613,0.0242152248415658,0.7864569866072229,0.0170029528023752
SonyAIBORobotSurface2,0.85099685204617,0.0181747199115307,0.8720731182693962,0.015048103419884
StarLightCurves,0.975402,0.0015748701533777,0.964998,0.0016896674228971
Strawberry,0.9497297297297296,0.0086739494788547,0.9600710476024868,0.0068883249997134
SwedishLeaf,0.9104,0.0127197484251851,0.910812,0.0133113656699829
Symbols,0.949748,0.00496514410667,0.949744,0.0051254486632879
SyntheticControl,0.96733,0.0048989794855663,0.967302,0.0049218671253905
ToeSegmentation1,0.8912280701754386,0.0156302891940398,0.8817663869309158,0.0181152270731067
