Dataset,Accuracy,Acc. STD,F1,F1 STD
ACSF1,0.924,0.0048989794855663,0.921098,0.0045523549949449
Adiac,0.8148340000000001,0.006182878294128,0.7889440000000001,0.0059083994448581
AllGestureWiimoteX,0.6677139999999999,0.0053127040196118,0.6536120000000001,0.0052876588392217
AllGestureWiimoteY,0.6265700000000001,0.1040078647026271,0.614708,0.1084266353623499
AllGestureWiimoteZ,0.6428559999999999,0.0023880670007351,0.634252,0.0018903481160886
ArrowHead,0.912,0.0045725004100601,0.912666,0.0045491124409053
BME,0.949334,0.0032627203373871,0.950114,0.0031647407476758
Beef,0.8,0.0,0.79939,0.0
BeetleFly,0.95,0.0,0.9473684210526316,0.0
BirdChicken,0.89,0.0223606797749979,0.8987012987012987,0.0232318750909068
CBF,0.99333,0.0,0.99333,0.0
Car,0.9,0.0,0.89452,0.0
Chinatown,0.9854227405247812,0.0,0.9898580121703854,0.0
ChlorineConcentration,0.69875,0.0774898705638356,0.6655599999999999,0.0692777311984161
CinCECGTorso,0.8440580000000001,0.0049010341765794,0.844604,0.0047839088620081
Coffee,1.0,0.0,1.0,0.0
Computers,0.7544,0.0121983605455815,0.7591812132852226,0.0126456180469433
CricketX,0.788718,0.0038386737292976,0.7858080000000001,0.0042495948042137
CricketY,0.7343599999999999,0.0621029516206757,0.731426,0.0679578082636572
CricketZ,0.8102560000000001,0.0097292745875527,0.793774,0.0111189614622949
Crop,0.7087600000000001,0.0014599589035311,0.6879480000000001,0.0014402138730063
DiatomSizeReduction,0.9633959999999998,0.0032039325835603,0.953394,0.0024060723181151
DistalPhalanxOutlineAgeGroup,0.68777,0.0097606577647205,0.6674439999999999,0.0085834342777235
DistalPhalanxOutlineCorrect,0.7630434782608696,0.0054948372782981,0.8140987121157094,0.0042979321575268
DistalPhalanxTW,0.6345319999999999,0.0367959336883846,0.482162,0.0312612695839436
DodgerLoopDay,0.645,0.0061237243569579,0.626962,0.0100905428991704
DodgerLoopGame,0.8942028985507247,0.0039690040398925,0.8835555555555556,0.0048686449556014
DodgerLoopWeekend,0.9855072463768116,0.0,0.972972972972973,0.0
ECG200,0.894,0.0114017542509913,0.919862332558794,0.0080602444478812
ECG5000,0.935512,0.001075144641432,0.603906,0.008230056135896
ECGFiveDays,0.9976771196283392,0.0,0.9976958525345622,0.0
EOGHorizontalSignal,0.560222,0.0032228025071356,0.537458,0.0031660663290587
EOGVerticalSignal,0.4629819999999999,0.0071199393255841,0.41228,0.0095790542330649
Earthquakes,0.7381294964028777,0.0082027008999937,0.2064147688060731,0.0530853738699261
ElectricDevices,0.756842,0.0043558989887277,0.663902,0.0056926352421352
EthanolLevel,0.5327999999999999,0.0048332183894378,0.475832,0.0062741227275213
FaceAll,0.7875720000000002,0.0006499661529649,0.8382820000000001,0.0009048403174041
FaceFour,0.968182,0.0045439999999999,0.971652,0.004184
FacesUCR,0.955024,0.000947261315583,0.945792,0.0010489118170752
FiftyWords,0.73978,0.1138661970911472,0.607608,0.1200332089715175
Fish,0.939428,0.0028022162657439,0.934056,0.0032863268248912
FordA,0.9427272727272727,0.0034132970685056,0.94070790419392,0.0036738180332259
FordB,0.7950617283950617,0.0076602923740684,0.7972348837795583,0.0082495969817332
FreezerRegularTrain,0.9948070175438596,0.0004574878880844,0.9947797396599644,0.0004622077011184
FreezerSmallTrain,0.9070175438596492,0.0025664454102329,0.9107431310265832,0.0025158462982124
Fungi,0.03763,0.0,0.00403,0.0
GestureMidAirD1,0.6846179999999998,0.0048667459354274,0.67237,0.0056131417227787
GestureMidAirD2,0.62923,0.0089710913494401,0.6232059999999999,0.0096228947827564
GestureMidAirD3,0.34923,0.0078466069099961,0.3116059999999999,0.012464301986072
GesturePebbleZ1,0.90116,0.0,0.8931799999999999,1.1102230246251563e-16
GesturePebbleZ2,0.855696,0.0047369382516558,0.854312,0.0047968339558504
GunPointAgeSpan,0.9867088607594936,0.0014152328971517,0.9864619852712374,0.0014194311816511
GunPointMaleVersusFemale,0.9962025316455696,0.0014152328971517,0.9960176893797716,0.0014759199869088
GunPointOldVersusYoung,0.9853968253968254,0.0028394513999997,0.9861752669630888,0.002646657467321
GunPoint,0.9933333333333332,0.0,0.9932885906040269,0.0
Ham,0.6704761904761904,0.0127775312999988,0.6991120229359005,0.0119703074482263
HandOutlines,0.9313513513513514,0.0014803312365004,0.9475433977718136,0.0010580066560331
Haptics,0.467532,0.0050310054661071,0.4587759999999999,0.0054783705606685
Herring,0.59375,0.0191366386154935,0.488235294117647,0.0214363143038689
