Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
ACSF1,0.924,0.00489897948556636,0.921098,0.004552354994944941
Adiac,0.8148340000000001,0.00618287829412806,0.7889440000000001,0.0059083994448581425
AllGestureWiimoteX,0.6677139999999999,0.0053127040196118734,0.6536120000000001,0.005287658839221773
AllGestureWiimoteY,0.6265700000000001,0.10400786470262718,0.614708,0.10842663536234996
AllGestureWiimoteZ,0.6428559999999999,0.0023880670007351266,0.634252,0.0018903481160886429
ArrowHead,0.9120000000000001,0.0045725004100601475,0.9126660000000001,0.004549112440905355
BME,0.949334,0.003262720337387193,0.9501139999999999,0.0031647407476758766
Beef,0.8,0.0,0.79939,0.0
CBF,0.99333,0.0,0.99333,0.0
Car,0.9,0.0,0.89452,0.0
ChlorineConcentration,0.69875,0.07748987056383563,0.6655599999999999,0.06927773119841611
CinCECGTorso,0.8440580000000001,0.004901034176579471,0.844604,0.004783908862008135
CricketX,0.788718,0.0038386737292976365,0.7858080000000001,0.004249594804213716
CricketY,0.7343599999999999,0.06210295162067579,0.731426,0.06795780826365724
CricketZ,0.8102560000000001,0.009729274587552758,0.793774,0.011118961462294913
Crop,0.7087600000000001,0.0014599589035311786,0.6879480000000001,0.001440213873006372
DiatomSizeReduction,0.9633959999999998,0.0032039325835603923,0.953394,0.002406072318115164
DistalPhalanxOutlineAgeGroup,0.68777,0.009760657764720578,0.6674439999999999,0.008583434277723592
DistalPhalanxTW,0.6345319999999999,0.03679593368838465,0.48216200000000004,0.03126126958394365
DodgerLoopDay,0.645,0.006123724356957978,0.626962,0.010090542899170479
ECG5000,0.9355119999999999,0.0010751446414320148,0.603906,0.008230056135896049
EOGHorizontalSignal,0.560222,0.003222802507135685,0.537458,0.0031660663290587927
EOGVerticalSignal,0.46298199999999995,0.00711993932558417,0.41228,0.00957905423306498
ElectricDevices,0.756842,0.004355898988727797,0.663902,0.005692635242135201
EthanolLevel,0.5327999999999999,0.004833218389437833,0.47583200000000003,0.006274122727521344
FaceAll,0.7875720000000002,0.0006499661529649078,0.8382820000000001,0.0009048403174041382
FaceFour,0.968182,0.00454399999999997,0.971652,0.004184000000000011
FacesUCR,0.9550240000000001,0.0009472613155830123,0.945792,0.0010489118170752024
FiftyWords,0.73978,0.11386619709114727,0.607608,0.12003320897151755
Fish,0.939428,0.0028022162657439843,0.934056,0.003286326824891254
Fungi,0.03763,0.0,0.00403,0.0
GestureMidAirD1,0.6846179999999998,0.004866745935427495,0.67237,0.005613141722778792
GestureMidAirD2,0.62923,0.008971091349440161,0.6232059999999999,0.009622894782756403
GestureMidAirD3,0.34923,0.007846606909996187,0.31160599999999994,0.012464301986072063
GesturePebbleZ1,0.90116,0.0,0.8931799999999999,1.1102230246251565e-16
GesturePebbleZ2,0.855696,0.004736938251655806,0.854312,0.004796833955850471
Haptics,0.467532,0.005031005466107148,0.45877599999999996,0.005478370560668559
InlineSkate,0.436362,0.0011479094040907653,0.440824,0.0011512706024215161
InsectEPGRegularTrain,0.8489979999999999,0.005447096107101464,0.831116,0.006976467874218291
InsectEPGSmallTrain,0.7277099999999999,0.009296952188755186,0.7094940000000001,0.008537335884220561
InsectWingbeatSound,0.640808,0.002718524599851902,0.631264,0.003069700962634643
LargeKitchenAppliances,0.8218679999999999,0.0070360596927541985,0.821646,0.007121934006995586
Lightning7,0.75342,0.0,0.74932,0.0
Mallat,0.957014,0.0018775473362873983,0.9568,0.0018837091070544893
Meat,0.96667,0.0,0.9665800000000001,1.1102230246251565e-16
MedicalImages,0.653948,0.07025292062256201,0.6103939999999999,0.05451169437836252
MelbournePedestrian,0.8840520000000002,0.004456758463277998,0.882136,0.004598437125806987
MiddlePhalanxOutlineAgeGroup,0.51169,0.025448667548616386,0.44554199999999994,0.022808162924707463
MiddlePhalanxTW,0.505196,0.01899589597781585,0.364112,0.020029223050333233
MixedShapesRegularTrain,0.95794,0.0008260024213039728,0.956738,0.0007681510268170092
MixedShapesSmallTrain,0.91464,0.0008260024213039728,0.9102080000000001,0.0009379850745081179
NonInvasiveFetalECGThorax1,0.9223419999999999,0.009099673400732582,0.91546,0.010676626808126269
NonInvasiveFetalECGThorax2,0.947176,0.003319660223577125,0.9419460000000001,0.003482048822173491
OSULeaf,0.80744,0.003307500566893372,0.797598,0.003957096915669371
OliveOil,0.8933340000000001,0.013331999999999988,0.857808,0.03140399999999999
PLAID,0.930354,0.0018999747366741544,0.878274,0.003077418398593217
Phoneme,0.17215200000000003,0.001963113853040616,0.11398199999999999,0.001261830416498194
PickupGestureWiimoteZ,0.808,0.009797958971132666,0.8009999999999999,0.009553009996854376
PigAirwayPressure,0.21442400000000003,0.004902512009164283,0.212102,0.005471209738257162
PigArtPressure,0.680766,0.0038479999999999847,0.6669020000000001,0.003583849327189976
PigCVP,0.698078,0.0035951990209166502,0.687646,0.003164620672371314
Plane,1.0,0.0,1.0,0.0
ProximalPhalanxOutlineAgeGroup,0.822438,0.03934054620871448,0.7468619999999999,0.04192209794368599
ProximalPhalanxTW,0.7746359999999999,0.024756754714622863,0.522656,0.03266871873826702
RefrigerationDevices,0.519466,0.008664164356705159,0.5131819999999999,0.008576557351291935
Rock,0.9040000000000001,0.014966629547095779,0.899356,0.020504241122265378
ScreenType,0.4437340000000001,0.005224762578337894,0.443566,0.004971674164705485
SemgHandMovementCh2,0.57111,0.008195632983485739,0.5698160000000001,0.008466247338697348
SemgHandSubjectCh2,0.8902199999999999,0.00518182979265045,0.890766,0.0050522454413854416
ShakeGestureWiimoteZ,0.8800000000000001,1.1102230246251565e-16,0.8722899999999999,1.1102230246251565e-16
ShapesAll,0.8600000000000001,0.0034973018171155935,0.85218,0.00392913221971466
SmallKitchenAppliances,0.8079980000000001,0.006532789297076702,0.807498,0.00640020749663634
SmoothSubspace,0.97333,0.0,0.97332,0.0
StarLightCurves,0.9743099999999998,0.0008004998438475956,0.964758,0.0010305221977230693
SwedishLeaf,0.9539199999999999,0.013778592090631026,0.9541699999999999,0.014156775056487981
Symbols,0.96663,0.0016087510683757222,0.966882,0.001589004719942648
SyntheticControl,0.990666,0.0024919438195914506,0.990664,0.0024951520995723153
Trace,1.0,0.0,1.0,0.0
TwoPatterns,0.9993500000000001,0.00025495097567965907,0.9993360000000001,0.00025850338489079327
UMD,0.99306,0.0,0.99305,0.0
UWaveGestureLibraryAll,0.9706899999999999,0.00043377413477523454,0.9704940000000001,0.00043513676011110115
UWaveGestureLibraryX,0.8148500000000001,0.00653230434073613,0.8003039999999999,0.003234975115823933
UWaveGestureLibraryY,0.74003,0.0074748725741647405,0.732778,0.006669771810189621
UWaveGestureLibraryZ,0.74668,0.003844164408554878,0.735454,0.003997762374128835
WordSynonyms,0.72163,0.004607763014739392,0.599488,0.003784470372456376
Worms,0.672724,0.005191999999999996,0.665196,0.003315790101921394
