Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
ACSF1,0.78,0.0260768096208105,0.776988,0.0276005365165244
Adiac,0.700256,0.0046890664316044,0.670984,0.0045197814106436
AllGestureWiimoteX,0.611716,0.0046414118541668,0.612144,0.0052556697004282
AllGestureWiimoteY,0.5745699999999999,0.0122679941310712,0.571312,0.0111737073525307
AllGestureWiimoteZ,0.57143,0.0129999061535074,0.5715600000000001,0.0134941691111383
ArrowHead,0.842286,0.0199926192381088,0.8409279999999999,0.021034755430002
BME,0.898668,0.0195032534721773,0.899986,0.0194093179684397
Beef,0.686666,0.0339932020262875,0.667708,0.0428307101972404
BeetleFly,0.82,0.06,0.817248,0.0601507527467445
BirdChicken,0.9200000000000002,0.0599999999999999,0.91823,0.06328
CBF,0.972668,0.0080939122802264,0.9726899999999998,0.0081080922540385
Car,0.846668,0.0194373068093293,0.8505800000000001,0.0158766747148135
Chinatown,0.977844,0.002973513746395,0.972834,0.003565796404732
ChlorineConcentration,0.563022,0.006705094779345,0.4190979999999999,0.0334355346300907
CinCECGTorso,0.6852179999999999,0.013617878542563,0.687564,0.0137760786873478
Coffee,0.92857,0.0,0.92857,0.0
Computers,0.7776000000000002,0.0155125755437322,0.77607,0.0158964952112092
CricketX,0.68872,0.0086721877285953,0.681006,0.0101473515756575
CricketY,0.6887179999999999,0.0100772226332457,0.6917099999999999,0.009150678663356
CricketZ,0.707178,0.0123957983203987,0.696224,0.0121618182851084
Crop,0.5789160000000001,0.0043792035805612,0.569538,0.0050664164850513
DiatomSizeReduction,0.867318,0.0098257893321605,0.8585280000000001,0.0174566610782245
DistalPhalanxOutlineAgeGroup,0.733814,0.0143900001389853,0.7385900000000001,0.0194598016433878
DistalPhalanxOutlineCorrect,0.7615959999999999,0.0202890715411031,0.741644,0.022297316071671
DistalPhalanxTW,0.6776960000000001,0.0210506186132379,0.519536,0.0415636112964213
DodgerLoopDay,0.5349999999999999,0.0289395922569755,0.515538,0.0314793592056763
DodgerLoopGame,0.839132,0.0226402494685902,0.8382480000000001,0.0232740365214115
DodgerLoopWeekend,0.97826,0.0,0.97254,1.1102230246251563e-16
ECG200,0.882,0.0193907194296653,0.8709979999999999,0.0221433343469315
ECG5000,0.940356,0.001190740945798,0.584576,0.0066848802532281
ECGFiveDays,0.9600459999999998,0.0126276119674307,0.960024,0.0126483257390059
EOGHorizontalSignal,0.54254,0.0105702090802405,0.531898,0.0076843982197697
EOGVerticalSignal,0.4469599999999999,0.0163336597246299,0.394494,0.0229470622084832
Earthquakes,0.7553979999999999,0.0045505182122479,0.462086,0.0207162415510149
ElectricDevices,0.704346,0.0038999620510974,0.638584,0.006685227296061
EthanolLevel,0.5244,0.01304760514424,0.5044740000000001,0.0252572624011392
FaceAll,0.770532,0.0049270291251422,0.814894,0.0041616179545941
FaceFour,0.84091,0.010160692889759,0.8418379999999999,0.009320449345391
FacesUCR,0.8650739999999999,0.0122247529218385,0.8440259999999998,0.0126427253391031
FiftyWords,0.772306,0.0086368920335963,0.653196,0.0161951790357501
Fish,0.921142,0.0127275502748958,0.917736,0.0138109124970075
FordA,0.933938,0.003991743478732,0.933876,0.0039988828439952
FordB,0.793334,0.0045251855210587,0.793118,0.0044171773792773
FreezerRegularTrain,0.985122,0.0024142858157227,0.98512,0.0024167829857064
FreezerSmallTrain,0.7944579999999999,0.0129158172795994,0.7939440000000001,0.0130195370117374
Fungi,0.03763,0.0,0.00403,0.0
GestureMidAirD1,0.610768,0.0078454302622609,0.603194,0.0051026016893345
GestureMidAirD2,0.581538,0.0061565003045561,0.554378,0.0075113924141932
GestureMidAirD3,0.267692,0.0164269661228115,0.241496,0.0203338747906049
GesturePebbleZ1,0.9,0.0085459978937511,0.8946379999999999,0.0092318522518506
GesturePebbleZ2,0.8177220000000001,0.0135128729735759,0.8127279999999999,0.0126964568285801
GunPoint,0.98,0.0042184783986646,0.979992,0.0042153168326947
GunPointAgeSpan,0.974048,0.0012639999999999,0.974036,0.001268
GunPointMaleVersusFemale,0.993038,0.001264,0.993018,0.0012690059101517
GunPointOldVersusYoung,0.975872,0.00155787547641,0.975802,0.0015579268275499
Ham,0.7409519999999999,0.0220478229310741,0.7392520000000001,0.0223626379481491
HandOutlines,0.910812,0.0087146804875451,0.902222,0.0092299326108049
Haptics,0.4590919999999999,0.0075704620730837,0.4320399999999999,0.0078911317312537
Herring,0.6718740000000001,0.027949731733954,0.606848,0.0390041476768817
HouseTwenty,0.914284,0.0098001155095233,0.910214,0.0104747708328153
InlineSkate,0.3378199999999999,0.0075756029463006,0.341228,0.0065729640193751
InsectEPGRegularTrain,0.866668,0.0146778777757548,0.84313,0.0196289347647803
InsectEPGSmallTrain,0.71486,0.0222873910541364,0.658042,0.0225643678395828
InsectWingbeatSound,0.62273,0.0023031543587002,0.607286,0.0023601745698146
ItalyPowerDemand,0.951798,0.0033987609506994,0.95178,0.0034076795624002
LargeKitchenAppliances,0.8448019999999999,0.010450748107193,0.844946,0.010512332947543
Lightning2,0.7606580000000001,0.0245377891424634,0.75442,0.0238821364203456
Lightning7,0.78904,0.01096,0.7582519999999999,0.017091342135713
Mallat,0.884434,0.0351804210321593,0.878014,0.0406363106593106
Meat,0.903334,0.0124746857275043,0.9026700000000002,0.0130230749057202
MedicalImages,0.702104,0.0059173730658122,0.646078,0.0116047841858433
MelbournePedestrian,0.806152,0.0019300507765341,0.8017919999999998,0.0022901737925318
MiddlePhalanxOutlineAgeGroup,0.5857140000000001,0.0351853211439088,0.485332,0.0210037905150475
MiddlePhalanxOutlineCorrect,0.7532639999999999,0.013982707320115,0.736394,0.0125790645121169
MiddlePhalanxTW,0.562338,0.010549679426409,0.42161,0.010865709364786
MixedShapesRegularTrain,0.938062,0.0061177852201593,0.935854,0.0064078252160932
MixedShapesSmallTrain,0.8908039999999999,0.0076407659301931,0.8848039999999999,0.0080796747459288
MoteStrain,0.922046,0.0085672600053926,0.921264,0.0087368383297391
NonInvasiveFetalECGThorax1,0.8523160000000001,0.0046782116241144,0.846306,0.0047523408968633
NonInvasiveFetalECGThorax2,0.888346,0.0103624912062688,0.8833,0.0094752667508624
OSULeaf,0.8388439999999999,0.0256075204578655,0.815944,0.0386676725961105
OliveOil,0.8266640000000001,0.0133319999999999,0.756638,0.004244
PLAID,0.834636,0.0134001770137562,0.795076,0.0180397390225025
PhalangesOutlinesCorrect,0.736362,0.0133972898751948,0.680774,0.0188716820659951
Phoneme,0.230278,0.0053014239596546,0.14198,0.0047725422994458
PickupGestureWiimoteZ,0.748,0.0203960780543711,0.741922,0.0210590212498111
PigAirwayPressure,0.287502,0.06308055339009,0.285248,0.0575348122096526
PigArtPressure,0.765384,0.0463529168877213,0.7548739999999999,0.0482687135109275
PigCVP,0.6980759999999999,0.01834362188882,0.691458,0.0175769979234225
Plane,1.0,0.0,1.0,0.0
PowerCons,0.954442,0.0137894037579585,0.95444,0.0137868255954734
ProximalPhalanxOutlineAgeGroup,0.8565860000000001,0.0049738982699689,0.767194,0.0043384264428476
ProximalPhalanxOutlineCorrect,0.8309279999999999,0.0088010167594431,0.771094,0.0142154572209267
ProximalPhalanxTW,0.8078059999999999,0.0066160157194492,0.48615,0.0289429072485816
RefrigerationDevices,0.510932,0.0110090388317963,0.500888,0.0122312589703595
Rock,0.836,0.0195959179422654,0.824024,0.0255826649120063
ScreenType,0.4437340000000001,0.0343390469291155,0.442044,0.0326667039047406
SemgHandGenderCh2,0.8523339999999999,0.0136479223327215,0.8393499999999999,0.0143854245679437
SemgHandMovementCh2,0.495556,0.0070246839074794,0.498134,0.0074423372672837
SemgHandSubjectCh2,0.793334,0.0101326513805617,0.788704,0.0106240154367357
ShakeGestureWiimoteZ,0.8039999999999999,0.0079999999999999,0.794014,0.0085879999999999
ShapeletSim,0.7944419999999999,0.0684042631420001,0.792354,0.069676812958114
ShapesAll,0.8160019999999999,0.0052277467421442,0.8058400000000001,0.0063708743512959
SmallKitchenAppliances,0.7952000000000001,0.0061740683507716,0.794238,0.0059935345164602
SmoothSubspace,0.914666,0.018573146852378,0.914842,0.0184278977639881
SonyAIBORobotSurface1,0.75774,0.04169082584934,0.75482,0.0443756965015762
SonyAIBORobotSurface2,0.866948,0.0101601425186854,0.8622699999999999,0.0099230136551352
StarLightCurves,0.975402,0.0015748701533777,0.964998,0.0016896674228971
Strawberry,0.950812,0.0108634182465741,0.9467,0.011972797501002
SwedishLeaf,0.9104,0.0127197484251851,0.910812,0.0133113656699829
Symbols,0.949748,0.00496514410667,0.949744,0.0051254486632879
SyntheticControl,0.96733,0.0048989794855663,0.967302,0.0049218671253905
ToeSegmentation1,0.8885959999999999,0.0165530330755423,0.887872,0.016850599277177
ToeSegmentation2,0.8876899999999999,0.026911558111711,0.833916,0.0309658912999448
Trace,1.0,0.0,1.0,0.0
TwoLeadECG,0.8941199999999998,0.0363555426310762,0.8929,0.0371187704537744
TwoPatterns,0.93865,0.0023377339455121,0.938326,0.0023835066603641
UMD,0.956942,0.006805907433987,0.95688,0.0068954912805397
UWaveGestureLibraryAll,0.92116,0.0040676922204119,0.92021,0.0040268945851611
