Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
ACSF1,0.884,0.008,0.8813639999999999,0.0083079999999999
Adiac,0.78312,0.0071242992637872,0.758294,0.0075732492366223
AllGestureWiimoteX,0.670858,0.0049147183032194,0.6642999999999999,0.0053883281266084
AllGestureWiimoteY,0.663428,0.0054666933332682,0.652456,0.0048420516312819
AllGestureWiimoteZ,0.6317159999999999,0.0018971093800833,0.629592,0.0019230954214494
ArrowHead,0.906286,0.0058289642304615,0.908372,0.0057852585076208
BME,0.957332,0.0032676193168727,0.95786,0.0031598417681902
Beef,0.726666,0.0249450953896753,0.718512,0.0306357134077207
BeetleFly,0.95,0.0,0.94987,0.0
BirdChicken,0.89,0.0374165738677394,0.8896200000000001,0.0374849404427964
CBF,0.992442,0.0012944713206556,0.99246,0.0012982603745011
Car,0.9,0.0105430337190013,0.894404,0.0131748147615061
Chinatown,0.98542,1.1102230246251563e-16,0.98198,1.1102230246251563e-16
ChlorineConcentration,0.68052,0.0077197694266085,0.6291399999999999,0.0134595022196216
CinCECGTorso,0.8127519999999999,0.0044115321601457,0.8127219999999999,0.0045303395016267
Coffee,1.0,0.0,1.0,0.0
Computers,0.7840000000000001,0.0113137084989847,0.7834199999999999,0.0115621745359599
CricketX,0.758462,0.0081733650352837,0.7537480000000001,0.0077599108242298
CricketY,0.7323080000000001,0.0026134452356994,0.734612,0.0033172361990066
CricketZ,0.763586,0.0046999770212204,0.7447480000000001,0.005629925043906
Crop,0.6807620000000001,0.0008822335291746,0.663776,0.0011632127922267
DiatomSizeReduction,0.944442,0.0035784544149674,0.936886,0.0050164074794617
DistalPhalanxOutlineAgeGroup,0.6820120000000001,0.011512750149291,0.6740740000000001,0.0113557256042931
DistalPhalanxOutlineCorrect,0.760146,0.0115493282921561,0.741632,0.0125884763176486
DistalPhalanxTW,0.660432,0.0146706637886634,0.497216,0.0170548193775249
DodgerLoopDay,0.65,0.0079056941504209,0.634092,0.0080261557423214
DodgerLoopGame,0.892752,0.0071010714684475,0.8922139999999998,0.0071264594294783
DodgerLoopWeekend,0.98551,0.0,0.98154,1.1102230246251563e-16
ECG200,0.884,0.0101980390271855,0.8721399999999999,0.0114474695893895
ECG5000,0.939198,0.0007237513385134,0.611592,0.007627265302846
ECGFiveDays,0.997678,0.0012743688633986,0.997678,0.0012743688633986
EOGHorizontalSignal,0.5685100000000001,0.0148673696395832,0.554632,0.0145042040801968
EOGVerticalSignal,0.46464,0.0040593497016147,0.414844,0.0060700794063998
Earthquakes,0.775538,0.0083893680334099,0.561794,0.0196912616152444
ElectricDevices,0.763846,0.0081452479397499,0.6840660000000002,0.0131188758664757
EthanolLevel,0.5715999999999999,0.0111283421945948,0.5286139999999999,0.0172431976152916
FaceAll,0.7885200000000001,0.0021345350781844,0.834196,0.0040648621132825
FaceFour,0.974998,0.0045439999999999,0.976984,0.003712
FacesUCR,0.930442,0.001095415902751,0.917978,0.0014326116012374
FiftyWords,0.7942859999999999,0.0076893110224518,0.676926,0.0107155916308899
