Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
Crop,0.585106,0.018996807731826944,0.556764,0.028562087178635932
ElectricDevices,0.6572420000000001,0.046033032226869434,0.595768,0.04750786646440776
FordA,0.915302,0.005056771301927745,0.915222,0.005077579738418673
FordB,0.76543,0.03155352595194395,0.7601359999999999,0.03918444262714476
HandOutlines,0.8589180000000001,0.0448173490514555,0.849804,0.04230295999099826
MelbournePedestrian,0.71956,0.02395747566001059,0.69235,0.03548916003514315
NonInvasiveFetalECGThorax1,0.690688,0.02813076209419149,0.659774,0.03654942658920932
NonInvasiveFetalECGThorax2,0.715522,0.018058109978621797,0.6833560000000001,0.02603476644796338
PhalangesOutlinesCorrect,0.697436,0.02081737985434286,0.635356,0.04209462274447893
StarLightCurves,0.944294,0.01611561925586481,0.9120659999999999,0.03657056991625918
TwoPatterns,0.7554000000000001,0.0420323090015288,0.74661,0.050061686747451865
Wafer,0.981992,0.0129228284829599,0.9494260000000001,0.04001364097404784
