Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
ACSF1,0.9019999999999999,0.007483314773547889,0.899002,0.007333679567584055
Adiac,0.8204600000000001,0.012672412556415621,0.794248,0.01983122023477121
AllGestureWiimoteX,0.645142,0.042690684417095,0.6363660000000001,0.04440317763403875
AllGestureWiimoteY,0.6982839999999999,0.0021016621993079506,0.69083,0.0026703932294701465
AllGestureWiimoteZ,0.652286,0.00410180740649777,0.64251,0.004615963604709232
ArrowHead,0.9245720000000001,0.006663063559654796,0.925342,0.007180870142259937
BME,0.9733319999999999,0.004215316832694771,0.973528,0.004142725672790802
Beef,0.8,0.021079742882682433,0.802596,0.021304265863906217
BeetleFly,0.9,0.0,0.8989899999999998,1.1102230246251565e-16
BirdChicken,0.9,0.0,0.8989899999999998,1.1102230246251565e-16
CBF,0.99778,0.0,0.99779,0.0
Car,0.9166700000000001,1.1102230246251565e-16,0.9150600000000001,1.1102230246251565e-16
Chinatown,0.98134,0.0023325008038583865,0.9769460000000001,0.0028906096242834046
ChlorineConcentration,0.7413039999999999,0.0062592478781399955,0.70168,0.00812655400523493
CinCECGTorso,0.8194220000000001,0.003473202556719089,0.8146619999999999,0.0033006690230921675
Coffee,1.0,0.0,1.0,0.0
Computers,0.6975999999999999,0.005425863986500219,0.6974699999999999,0.005500472706958894
CricketX,0.77641,0.01772167035016733,0.7735559999999999,0.019304699531461283
CricketY,0.80718,0.007843338574867222,0.8050879999999999,0.007912022244660357
CricketZ,0.78,0.016247890940057394,0.7604200000000001,0.0180024964935422
Crop,0.746894,0.0015174004085936072,0.734528,0.0017978809749257692
DiatomSizeReduction,0.937908,0.012908376195323718,0.9250999999999999,0.011655064135387666
DistalPhalanxOutlineAgeGroup,0.71079,0.022932255013408516,0.691244,0.02401121454654054
DistalPhalanxOutlineCorrect,0.7608699999999999,0.011686552956282686,0.7428580000000001,0.013921001975432657
DistalPhalanxTW,0.6474819999999999,0.04706449974237481,0.48655399999999993,0.03138313916739369
DodgerLoopDay,0.6575,0.012747548783981983,0.633642,0.01777348407037853
DodgerLoopGame,0.889854,0.005421127557990131,0.889432,0.005525560243088508
DodgerLoopWeekend,0.98551,0.0,0.9815400000000001,1.1102230246251565e-16
ECG200,0.8960000000000001,0.01019803902718558,0.885012,0.011944030140618346
ECG5000,0.9345800000000001,0.00090703913917755,0.597846,0.0025366954882287303
ECGFiveDays,0.9976800000000001,1.1102230246251565e-16,0.9976800000000001,1.1102230246251565e-16
EOGHorizontalSignal,0.599998,0.01423739498644328,0.584842,0.017532030572640474
EOGVerticalSignal,0.5359125,0.010517645589674518,0.4915575,0.012983831050579785
Earthquakes,0.7035959999999999,0.02201050621862205,0.491378,0.02825376180263434
ElectricDevices,0.757826,0.0024078504936976552,0.664332,0.0024910592124636317
EthanolLevel,0.5308,0.006273754856543254,0.47878,0.012498463905616557
FaceAll,0.7929,0.000646312617856114,0.843716,0.004714669023377979
FaceFour,0.95455,0.0,0.9545899999999999,1.1102230246251565e-16
FacesUCR,0.94117,0.0020597863966926176,0.930512,0.003222417725869824
FiftyWords,0.8158239999999999,0.003228700048006929,0.696626,0.007860357752672594
Fish,0.9611419999999999,0.0022839999999999974,0.958704,0.0025558215900176053
FordA,0.9453039999999999,0.0025961093967704707,0.945244,0.002598465701139798
FordB,0.809136,0.006562803059668938,0.8091060000000001,0.006556781527548398
FreezerRegularTrain,0.9993000000000001,1.1102230246251565e-16,0.9993000000000001,1.1102230246251565e-16
FreezerSmallTrain,0.950244,0.0040397207824304044,0.9501440000000001,0.004064040354130375
Fungi,0.03763,0.0,0.00403,0.0
GestureMidAirD1,0.692308,0.0503236625853087,0.6730240000000001,0.05664747747252298
GestureMidAirD2,0.604614,0.007842292011905708,0.588258,0.009170791459846863
GestureMidAirD3,0.38,0.033917268168294455,0.34053600000000006,0.046037928102815394
GesturePebbleZ1,0.9023239999999999,0.002328000000000019,0.895796,0.002811999999999992
GesturePebbleZ2,0.864558,0.009473876503311624,0.864636,0.009581120185030581
GunPoint,1.0,0.0,1.0,0.0
GunPointAgeSpan,0.9924060000000001,0.001548077517438994,0.992402,0.001552976496924538
GunPointMaleVersusFemale,1.0,0.0,1.0,0.0
GunPointOldVersusYoung,1.0,0.0,1.0,0.0
Ham,0.7352380000000001,0.012633627190953527,0.7299960000000001,0.014215918682941303
HandOutlines,0.9378400000000001,0.002414953415699805,0.9314399999999999,0.0026677406170765652
Haptics,0.515584,0.009498700121595609,0.512678,0.01017012566294045
Herring,0.690626,0.031870244806088334,0.673052,0.035610754779981844
HouseTwenty,0.9512599999999999,0.0033600000000000296,0.9490400000000001,0.0035800000000000055
InlineSkate,0.43345599999999995,0.011535523568525193,0.43689,0.010047614642291975
InsectEPGRegularTrain,1.0,0.0,1.0,0.0
InsectEPGSmallTrain,1.0,0.0,1.0,0.0
InsectWingbeatSound,0.643936,0.005091033686787004,0.633526,0.005185254477843872
ItalyPowerDemand,0.964624,0.0013193119418848799,0.964624,0.0013193119418848799
LargeKitchenAppliances,0.813334,0.00923760488438427,0.812172,0.009447417424883902
Lightning2,0.78033,0.022240144783701375,0.779602,0.022739594015725086
Lightning7,0.758902,0.010956500171131305,0.757962,0.011571567568830083
Mallat,0.949596,0.0026192716544871843,0.9494199999999999,0.0026277823349737366
Meat,0.96667,0.0,0.9665800000000001,1.1102230246251565e-16
MedicalImages,0.723422,0.00548139179406107,0.6772219999999999,0.007070851151028423
MelbournePedestrian,0.9401399999999999,0.02695044489428699,0.938936,0.028478158367422568
MiddlePhalanxOutlineAgeGroup,0.54805,0.02078000000000002,0.47107599999999994,0.024149754118831104
MiddlePhalanxOutlineCorrect,0.8309279999999999,0.004007579818294299,0.827256,0.004632323822877687
MiddlePhalanxTW,0.496104,0.008807003122515623,0.35569599999999996,0.010384905584549133
MixedShapesRegularTrain,0.96569,0.0011783378123441472,0.965166,0.0011250884409680741
MixedShapesSmallTrain,0.9354220000000002,0.0010599132039936117,0.9321720000000001,0.0013534459723239967
MoteStrain,0.9426500000000001,0.0009329523031752253,0.9421199999999998,0.0009347726996441474
NonInvasiveFetalECGThorax1,0.9315000000000001,0.002150227894898604,0.9244520000000002,0.0023809023499505194
NonInvasiveFetalECGThorax2,0.941882,0.020851685207675674,0.933952,0.026387326048692393
OSULeaf,0.8933859999999999,0.0016519999999999868,0.8796060000000001,0.0031636030092285486
OliveOil,0.8400000000000001,0.038873584347214496,0.791148,0.055242795150136983
PLAID,0.824582,0.16363657933359524,0.773946,0.17468691096931102
PhalangesOutlinesCorrect,0.8249419999999998,0.006403059893519655,0.808502,0.006784409775359954
Phoneme,0.20844000000000001,0.002613097778499687,0.14304200000000003,0.002194113944169726
PickupGestureWiimoteZ,0.752,0.00979795897113272,0.735422,0.01318918405360997
PigAirwayPressure,0.449038,0.025908698462099568,0.43682,0.02900626415104159
PigArtPressure,0.959614,0.008917554821810763,0.9591539999999998,0.009168202877336433
PigCVP,0.8586539999999999,0.007195742074310321,0.854872,0.007835282764521017
Plane,1.0,0.0,1.0,0.0
PowerCons,0.9911100000000002,0.0027189336144893004,0.9911100000000002,0.0027189336144893004
ProximalPhalanxOutlineAgeGroup,0.81756,0.01761516051587379,0.7245099999999999,0.021544629029064292
ProximalPhalanxOutlineCorrect,0.900342,0.0037646800660879687,0.8783160000000001,0.005591935621947017
ProximalPhalanxTW,0.765854,0.0174513926091874,0.501286,0.050047426547226166
RefrigerationDevices,0.48319800000000007,0.010980969720384457,0.473128,0.012314499421413763
Rock,0.792,0.029933259094191523,0.773004,0.03406848608318252
ScreenType,0.44800199999999996,0.014701050846793242,0.44448999999999994,0.015266663027656047
SemgHandGenderCh2,0.8720000000000001,0.009509761300894983,0.86395,0.009926290344333092
SemgHandMovementCh2,0.694222,0.014847252136338192,0.693968,0.014352183666606271
SemgHandSubjectCh2,0.8595560000000001,0.005692221359012673,0.859316,0.005472785762296943
ShakeGestureWiimoteZ,0.8320000000000001,0.009797958971132722,0.8045260000000001,0.01330646098705439
ShapeletSim,0.866668,0.011653219984193221,0.866528,0.011703789813560373
ShapesAll,0.9030020000000001,0.004000166996514022,0.8992359999999999,0.003962794973248029
SmallKitchenAppliances,0.789866,0.003538839357755583,0.7892520000000001,0.0035557243987688228
SmoothSubspace,0.9266679999999999,0.004215316832694771,0.925994,0.0043282402890782385
SonyAIBORobotSurface1,0.8119799999999999,0.002975089914607627,0.811726,0.003024285700789554
SonyAIBORobotSurface2,0.86128,0.0032803048638807802,0.857276,0.0033339742050591606
StarLightCurves,0.975376,0.0012212059613349387,0.9659220000000002,0.0016060933970352086
Strawberry,0.9794599999999999,0.0013227244611028794,0.977826,0.0014158050713286516
SwedishLeaf,0.9568,0.01537998699609334,0.956504,0.01662420476293527
Symbols,0.975474,0.0019675527947173423,0.975668,0.001961258779457702
SyntheticControl,0.989334,0.0013319999999999777,0.9893319999999999,0.0013360000000000039
ToeSegmentation1,0.9421060000000001,0.008504687178256472,0.942026,0.00850057080436366
ToeSegmentation2,0.906152,0.0030759999999999893,0.860044,0.005168510810668783
Trace,1.0,0.0,1.0,0.0
TwoLeadECG,0.995082,0.0007039999999999935,0.995082,0.0007039999999999935
TwoPatterns,0.98945,0.0008276472678623613,0.989438,0.000830696093646795
UMD,0.98611,0.0,0.98611,0.0
UWaveGestureLibraryAll,0.968844,0.000991879024881568,0.968628,0.00100102747215049
UWaveGestureLibraryX,0.8104420000000001,0.006273175910174987,0.7916040000000001,0.009028999058588946
UWaveGestureLibraryY,0.737968,0.0028540035038520733,0.7289260000000001,0.0030930088910315068
UWaveGestureLibraryZ,0.7372979999999999,0.054159197704545047,0.726396,0.053956321816817726
Wafer,0.9987999999999999,0.00024322828782850393,0.9968779999999999,0.000635559595946724
Wine,0.7962960000000001,0.038843112439659086,0.788056,0.04258607828856753
WordSynonyms,0.720064,0.005659337770446306,0.6037079999999999,0.011438194612787464
