dataset,n_kernels,compression,f1_mean,f1_std,comm_costs
BeetleFly,1000,1,0.84655,0.0,2312852.0
BeetleFly,1000,10,0.84655,0.0,529092.0
BeetleFly,1000,100,0.84655,0.0,64548.0
BeetleFly,1000,1000,0.813934,0.06436613196394513,25221.6
BirdChicken,1000,1,0.790286,0.05063825178656941,2303954.4
BirdChicken,1000,10,0.790286,0.05063825178656941,527888.8
BirdChicken,1000,100,0.790286,0.05063825178656941,64352.8
BirdChicken,1000,1000,0.6484119999999999,0.15287697307312179,25127.2
Crop,1000,1,0.640358,0.0023165526111012403,2793793.6
Crop,1000,10,0.04653,0.01693089129372698,678064.0
Crop,1000,100,0.5281659999999999,0.0053771390162427645,184000.0
Crop,1000,1000,0.469666,0.015164154575841022,141721.6
DiatomSizeReduction,1000,1,0.964844,0.004199507590182455,1779679.2
DiatomSizeReduction,1000,10,0.964844,0.004199507590182455,481568.8
DiatomSizeReduction,1000,100,0.964844,0.004199507590182455,65552.8
DiatomSizeReduction,1000,1000,0.374444,0.3994359767271846,31079.2
ElectricDevices,1000,1,0.65323,0.0047513829565716875,1722779.2
ElectricDevices,1000,10,0.131498,0.0104818765495497,497608.0
ElectricDevices,1000,100,0.391278,0.014587451319541726,89512.0
ElectricDevices,1000,1000,0.510796,0.03292123181170474,55830.4
FordA,1000,1,0.9548,0.0006125030612168557,2726612.8
FordA,1000,10,0.49839,0.013766605972424729,581931.2
FordA,1000,100,0.522504,0.038088733032223585,85419.2
FordA,1000,1000,0.9191819999999999,0.009566550893608427,42896.0
FordB,1000,1,0.8096160000000001,0.0039408151441040744,2756672.0
FordB,1000,10,0.4919140000000001,0.008787756482743487,581587.2
FordB,1000,100,0.566486,0.04543840164442409,82483.2
FordB,1000,1000,0.58053,0.03898885892149192,39700.8
Fungi,1000,1,0.00403,0.0,2220932.8
Fungi,1000,10,0.00403,0.0,578704.0
Fungi,1000,100,0.00403,0.0,128416.0
Fungi,1000,1000,0.00403,0.0,90515.2
InsectEPGSmallTrain,1000,1,0.6196699999999999,0.02198406058943615,2528982.4
InsectEPGSmallTrain,1000,10,0.6196699999999999,0.02198406058943615,553632.0
InsectEPGSmallTrain,1000,100,0.620992,0.024636553655087382,72096.0
InsectEPGSmallTrain,1000,1000,0.49776,0.017184139198691342,31070.4
NonInvasiveFetalECGThorax1,1000,1,0.8405799999999999,0.004266009845276969,3308124.0
NonInvasiveFetalECGThorax1,1000,10,0.847152,0.006125733915213754,803008.8
NonInvasiveFetalECGThorax1,1000,100,0.733008,0.007201584270144995,276976.8
NonInvasiveFetalECGThorax1,1000,1000,0.6407879999999999,0.020746615531213757,231501.6
