Dataset,Accuracy,Acc. STD,F1,F1 STD
ACSF1,0.866,0.01341640786499875,0.8639400388128347,0.013413904685587381
Adiac,0.7662404092071611,0.009150150291559243,0.7391930044435889,0.009827058312568172
AllGestureWiimoteX,0.6565714285714286,0.013193999873164367,0.650993598456787,0.013027945360042242
AllGestureWiimoteY,0.6431428571428571,0.008354395152693409,0.6318854557958821,0.007938793498090532
AllGestureWiimoteZ,0.6262857142857142,0.009400390786492602,0.6256782124752934,0.009731174037430958
ArrowHead,0.8971428571428571,0.020203050891044197,0.8983634487978869,0.0210288515219645
BME,0.9466666666666667,0.010540925533894595,0.9471963155904204,0.010446200684314292
Beef,0.7,0.02357022603955158,0.6783809523809524,0.03505357092319013
BeetleFly,0.9199999999999999,0.04472135954999577,0.9109047127622979,0.05501805565469493
BirdChicken,0.81,0.04183300132670376,0.8163713631905852,0.03162478897705498
CBF,0.9915555555555556,0.0006085806194501581,0.9915622309684424,0.0006079157935632399
Car,0.89,0.02527625148017184,0.8864860327659784,0.02704772062295561
Chinatown,0.9848396501457726,0.0013038297244896677,0.9894473853460644,0.0009181894925665774
ChlorineConcentration,0.6443229166666666,0.012978316000079428,0.5727348721520853,0.02341234715180877
CinCECGTorso,0.8121739130434783,0.006824686769838328,0.8108338021220981,0.006420136493746916
Coffee,1.0,0.0,1.0,0.0
Computers,0.7808,0.014805404418657412,0.7912103517368985,0.012774824652216334
CricketX,0.7466666666666667,0.008956025229011753,0.7434226210263398,0.008699348144745036
CricketY,0.7394871794871795,0.012897206502522353,0.742182683100923,0.011770118234496451
CricketZ,0.7574358974358975,0.003888654073872576,0.7417901918861428,0.004105841788424166
Crop,0.6582142857142858,0.003202967285675387,0.6438402632004854,0.003876011921825196
DiatomSizeReduction,0.9457516339869281,0.0017899429983828895,0.9404477136961363,0.0038634449345724344
DistalPhalanxOutlineAgeGroup,0.6776978417266187,0.014743814051740446,0.6725637819135213,0.012444827334512683
DistalPhalanxOutlineCorrect,0.7673913043478261,0.007854885285753187,0.8154044411026473,0.006165791564337283
DistalPhalanxTW,0.679136690647482,0.013068994334233803,0.5114211047657139,0.01955232984599424
DodgerLoopDay,0.6425,0.014252192813739227,0.6282038522783864,0.016411908470338656
DodgerLoopGame,0.9,0.018756781312383723,0.8933571854502087,0.019992321614859414
DodgerLoopWeekend,0.9855072463768116,0.0,0.972972972972973,0.0
ECG200,0.89,0.007071067811865481,0.9157721667645332,0.005450776294250637
ECG5000,0.9403555555555555,0.0020281963038408287,0.6140461926605827,0.008956392883301184
ECGFiveDays,0.9969802555168409,0.0017614112529736325,0.997006990977231,0.0017438023220778531
EOGHorizontalSignal,0.5679558011049723,0.03436979229833322,0.5525929782604023,0.032678059514978354
EOGVerticalSignal,0.481767955801105,0.011654708900402747,0.4410871105207541,0.013472196156625866
Earthquakes,0.7611510791366907,0.01474381405174043,0.18531713134662653,0.06098952227235114
ElectricDevices,0.7386590584878745,0.013090914784790849,0.6775246784662465,0.012933328133714367
EthanolLevel,0.5784,0.021835750502329852,0.5372946071842212,0.026563156694439295
FaceAll,0.7737278106508876,0.007230081606677362,0.8265932881598189,0.010530565105288194
FaceFour,0.9500000000000001,0.010163945352271763,0.9547703485288598,0.008554146761895746
FacesUCR,0.9201951219512196,0.0032467436667890245,0.9066710787523656,0.004328135090964401
FiftyWords,0.8017582417582417,0.004764721623885482,0.6820801234036863,0.007245969684381534
Fish,0.9462857142857143,0.01251937274297523,0.9428321050416554,0.013037618514896822
FordA,0.953030303030303,0.0018556740475630484,0.9513315775071034,0.0020077658809904116
FordB,0.811358024691358,0.004652208316399214,0.8122826802840156,0.004723036104049045
FreezerRegularTrain,0.9909473684210526,0.000293564921590886,0.9908672561758739,0.0002961719384223598
FreezerSmallTrain,0.8811929824561403,0.008204826331544743,0.8850375740123505,0.0079897753478696
Fungi,0.03763440860215054,0.0,0.00402993667242372,0.0
