Dataset,Best Accuracy,Best F1
ACSF1,0.872,0.8713029577472975
Adiac,0.7959079283887468,0.7714048124324026
AllGestureWiimoteX,0.6614285714285715,0.650993598456787
AllGestureWiimoteY,0.6734285714285714,0.6651819094427335
AllGestureWiimoteZ,0.6448571428571429,0.6357952645896079
ArrowHead,0.8994285714285714,0.8995639413353369
BME,0.9506666666666668,0.9513791890970928
Beef,0.7333333333333333,0.7316898395721925
BeetleFly,0.95,0.9473684210526316
BirdChicken,0.97,0.971291866028708
CBF,0.9931111111111112,0.9931006942041626
Car,0.9,0.8945175438596491
Chinatown,0.9854227405247812,0.9898580121703854
ChlorineConcentration,0.7332291666666667,0.6918423729396245
CinCECGTorso,0.8543478260869566,0.8543540998264776
Coffee,1.0,1.0
Computers,0.7808,0.7912103517368985
CricketX,0.7707692307692308,0.767745568791917
CricketY,0.7553846153846153,0.754454782816673
CricketZ,0.7974358974358975,0.7785877867013709
Crop,0.7031190476190476,0.6808936006065717
DiatomSizeReduction,0.9712418300653596,0.9604574731176684
DistalPhalanxOutlineAgeGroup,0.7410071942446043,0.7474731775578586
DistalPhalanxOutlineCorrect,0.7673913043478261,0.8154044411026473
DistalPhalanxTW,0.679136690647482,0.5170055983298932
DodgerLoopDay,0.645,0.6282038522783864
DodgerLoopGame,0.9,0.8933571854502087
DodgerLoopWeekend,0.9855072463768116,0.972972972972973
ECG200,0.894,0.919862332558794
ECG5000,0.9403555555555556,0.6140461926605827
ECGFiveDays,0.9976771196283392,0.9976958525345622
EOGHorizontalSignal,0.5679558011049723,0.5525929782604023
EOGVerticalSignal,0.481767955801105,0.4410871105207541
Earthquakes,0.7611510791366907,0.2064147688060731
ElectricDevices,0.7650888341330567,0.6783910125026704
EthanolLevel,0.5784,0.5372946071842212
FaceAll,0.7802366863905326,0.8310671941335297
FaceFour,0.9545454545454546,0.9591564601960028
FacesUCR,0.9507317073170732,0.9400464892782696
FiftyWords,0.8017582417582417,0.6820801234036863
Fish,0.9462857142857144,0.9428321050416554
FordA,0.953030303030303,0.9513315775071034
FordB,0.811358024691358,0.8122826802840156
FreezerRegularTrain,0.9948070175438596,0.9947797396599644
FreezerSmallTrain,0.9070175438596492,0.9107431310265832
Fungi,0.0376344086021505,0.0040299366724237
GestureMidAirD1,0.6815384615384615,0.6686657359734284
GestureMidAirD2,0.6461538461538462,0.6390700752239215
GestureMidAirD3,0.3523076923076923,0.3182678219216681
GesturePebbleZ1,0.8953488372093024,0.8878881460534686
GesturePebbleZ2,0.8670886075949367,0.8574884357218708
GunPointAgeSpan,0.9867088607594936,0.9864619852712374
GunPointMaleVersusFemale,0.9962025316455696,0.9960176893797716
GunPointOldVersusYoung,0.9853968253968254,0.9862109630573213
GunPoint,0.9933333333333332,0.9932885906040269
Ham,0.7733333333333333,0.7872898215744417
HandOutlines,0.9313513513513514,0.9475433977718136
Haptics,0.4961038961038961,0.4769270845967196
Herring,0.671875,0.5526084656084657
HouseTwenty,0.9512605042016806,0.938900709219858
InlineSkate,0.4261818181818181,0.4296628266760394
InsectEPGRegularTrain,0.8401606425702811,0.8133195941741936
InsectEPGSmallTrain,0.7317269076305221,0.7001414101419515
InsectWingbeatSound,0.6391919191919192,0.6244492641775654
ItalyPowerDemand,0.9652089407191448,0.9650864434394164
LargeKitchenAppliances,0.8384,0.8381326435518242
Lightning2,0.780327868852459,0.8034953111679455
Lightning7,0.7643835616438356,0.7385998869488019
Mallat,0.947462686567164,0.9472296088754006
Meat,0.9666666666666668,0.9665831244778612
MedicalImages,0.7247368421052631,0.6708524406764966
MelbournePedestrian,0.8829028290282903,0.8808206298211103
MiddlePhalanxOutlineAgeGroup,0.5935064935064935,0.4923591639335666
MiddlePhalanxOutlineCorrect,0.8240549828178695,0.8488776064244701
MiddlePhalanxTW,0.5584415584415584,0.4106275871669028
