Dataset,Accuracy Mean,Accuracy Std,F1 Mean,F1 Std
ACSF1,0.754,0.013564659966250548,0.755028,0.013168039185846902
Adiac,0.677236,0.0090629566919411,0.650394,0.013224221111279104
AllGestureWiimoteX,0.1,0.0,0.01818,0.0
AllGestureWiimoteY,0.1,0.0,0.01818,0.0
AllGestureWiimoteZ,0.1,0.0,0.01818,0.0
ArrowHead,0.8331419999999999,0.008396578827117593,0.8314280000000001,0.007962274549398535
BME,0.9146640000000001,0.002668000000000026,0.9157060000000001,0.002436929215221473
Beef,0.673334,0.0249450953896753,0.6529019999999999,0.02675065487048869
CBF,0.979334,0.001131982332017607,0.97934,0.0011316713303781824
Car,0.8033339999999999,0.028674340166776294,0.7928919999999999,0.032210224712038237
ChlorineConcentration,0.6669780000000001,0.011042598244978412,0.615214,0.017166514614213355
CinCECGTorso,0.726958,0.00800665822924894,0.726342,0.0071565896906278
CricketX,0.724618,0.010584712372095892,0.719412,0.009281948933279048
CricketY,0.743078,0.008489003239485784,0.7433120000000001,0.009645648552585793
CricketZ,0.7507699999999999,0.010049031794158083,0.732406,0.010521964835523832
Crop,0.658784,0.0015208103103280268,0.642402,0.002310319458429941
DiatomSizeReduction,0.9712419999999999,0.0043354326197047564,0.9616300000000001,0.005680925980859136
DistalPhalanxOutlineAgeGroup,0.707916,0.009758888461295183,0.6764680000000001,0.011995087994675148
DistalPhalanxTW,0.617268,0.010574719665315018,0.451408,0.027885115312653808
DodgerLoopDay,0.53,0.020310096011589923,0.4954140000000001,0.022176460132311476
ECG5000,0.9394680000000001,0.0005175867077118327,0.623574,0.0064012704988931635
EOGHorizontalSignal,0.556906,0.013486687658576508,0.5335219999999999,0.014583728467027898
EOGVerticalSignal,0.42983399999999994,0.00934261762034602,0.39589599999999997,0.01098260187751518
ElectricDevices,0.7262339999999999,0.004970499371290569,0.663952,0.002175053102800005
EthanolLevel,0.49800000000000005,0.008763560920082665,0.462242,0.007080792046092022
FaceAll,0.774556,0.006459865633277515,0.7776379999999999,0.013129938918365143
FaceFour,0.8886339999999999,0.0045479999999999965,0.8966520000000001,0.0036661391135634773
FacesUCR,0.8892680000000001,0.008027588429908455,0.875142,0.007904225199220986
FiftyWords,0.794726,0.008177054726489243,0.675022,0.015046477860283465
Fish,0.826286,0.011195392981043575,0.823034,0.011060203614762227
Fungi,0.03763,0.0,0.00403,0.0
GestureMidAirD1,0.04615,0.0,0.01569,0.0
GestureMidAirD2,0.04615,0.0,0.01569,0.0
GestureMidAirD3,0.04615,0.0,0.01569,0.0
GesturePebbleZ1,0.16279,0.0,0.04667,0.0
GesturePebbleZ2,0.1519,0.0,0.04396,0.0
Haptics,0.414284,0.013558893170166949,0.40492,0.014791808543920522
InlineSkate,0.34,0.006189888528883218,0.34842199999999995,0.007974061449474783
InsectEPGRegularTrain,0.836146,0.008945601377213277,0.79308,0.012968016039471855
InsectEPGSmallTrain,0.628916,0.023361072406890893,0.598126,0.02077654119433744
InsectWingbeatSound,0.638786,0.007458457213123889,0.626626,0.008608894470255745
LargeKitchenAppliances,0.768,0.008763560920082666,0.7676419999999999,0.008921758571044167
Lightning7,0.7424679999999999,0.02191650008555196,0.7416739999999999,0.023349151247957604
Mallat,0.8423019999999999,0.006146824871427537,0.8276239999999999,0.00815709899412776
Meat,0.996666,0.006667999999999986,0.996664,0.006672000000000011
MedicalImages,0.6897360000000001,0.008298526616213303,0.621912,0.012067349999067757
MelbournePedestrian,0.8966799999999999,0.001372122443515916,0.8981960000000001,0.0014117591862637315
MiddlePhalanxOutlineAgeGroup,0.5,0.019693716764491158,0.41874400000000006,0.01699983717569082
MiddlePhalanxTW,0.49480599999999997,0.012592003176619657,0.351804,0.01956033087654706
MixedShapesRegularTrain,0.935918,0.0032539539025622233,0.9338659999999999,0.003338614083717975
MixedShapesSmallTrain,0.8740640000000001,0.004538486972549311,0.8699920000000001,0.004962166462342826
NonInvasiveFetalECGThorax1,0.8523160000000001,0.005408898593983807,0.8402559999999999,0.006105992466421802
NonInvasiveFetalECGThorax2,0.8859020000000001,0.003546589347528117,0.877368,0.004084274231733226
OSULeaf,0.69504,0.021773558276037466,0.688646,0.02065171237452237
OliveOil,0.93333,0.0,0.93029,0.0
PLAID,0.06144999999999999,6.938893903907228e-18,0.01053,0.0
Phoneme,0.19409200000000001,0.006390998044124247,0.123054,0.002901893175153078
PickupGestureWiimoteZ,0.1,0.0,0.01818,0.0
PigAirwayPressure,0.14711599999999997,0.0065246014437665084,0.14516400000000002,0.009345892359748215
PigArtPressure,0.6153839999999999,0.01798988893795622,0.5976859999999999,0.02019543572196451
PigCVP,0.434614,0.06897691283320817,0.43318399999999996,0.06388548179359689
Plane,0.97143,0.0,0.972226,0.000248000000000026
ProximalPhalanxOutlineAgeGroup,0.8107320000000001,0.018867392400647175,0.7116480000000001,0.024204556100040332
ProximalPhalanxTW,0.71122,0.008391917540109662,0.4534059999999999,0.008701826474941906
RefrigerationDevices,0.49866600000000005,0.005593012068644238,0.492572,0.006304723308758279
Rock,0.7680000000000001,0.02039607805437116,0.7487299999999999,0.018507702180443696
ScreenType,0.40426599999999996,0.012464435165702451,0.403454,0.012022197136962958
SemgHandMovementCh2,0.558222,0.007492034169703174,0.5573819999999999,0.00941842746959384
SemgHandSubjectCh2,0.813334,0.01257165160191771,0.812416,0.01252301337538215
ShakeGestureWiimoteZ,0.1,0.0,0.01818,0.0
ShapesAll,0.8259979999999999,0.00687875977193566,0.812924,0.007413359832086923
SmallKitchenAppliances,0.762132,0.007801903357514721,0.7597280000000001,0.007841651356697798
SmoothSubspace,0.8893340000000001,0.014360006406683785,0.889076,0.014910104761536704
StarLightCurves,0.970832,0.003245066409181777,0.9595420000000001,0.003729774255903444
SwedishLeaf,0.9075200000000001,0.007112355446685702,0.907222,0.007158182450873969
Symbols,0.938692,0.003537266741426236,0.9386140000000001,0.003600725482454906
SyntheticControl,0.974,0.005736821419566758,0.97399,0.005717303560245879
Trace,0.978,0.0040000000000000036,0.9776720000000001,0.0037760000000000016
TwoPatterns,0.99225,0.0015572411502397326,0.9922179999999999,0.0015727606302295097
UMD,0.893054,0.007083322949012027,0.8922359999999999,0.007421982484484857
UWaveGestureLibraryAll,0.961082,0.0014942744058572342,0.960788,0.0015404726547394551
UWaveGestureLibraryX,0.798718,0.004667356425215475,0.778818,0.005833950291183517
UWaveGestureLibraryY,0.723896,0.0066664791306956005,0.7131480000000001,0.007423493517206033
UWaveGestureLibraryZ,0.7552199999999999,0.006759390505067731,0.742478,0.0065477183812378565
WordSynonyms,0.6783700000000001,0.01227866442248504,0.54191,0.009149146408272213
Worms,0.6415580000000001,0.013244507389857873,0.636216,0.014412034693269378
